date,type,info1,info2,info3,info4,tag
1,talk,0,0,2,2:ぼくは村人です！,['CO[02]:村人']
1,talk,0,0,2,2:みなさんは協力して、人狼を探し出してください！,['Pers:ALL']
1,talk,0,0,2,2:情報共有は大切です！,['Other']
1,talk,0,0,2,2:何か不思議な点や疑問に思った点があれば、どんどん話し合いましょうよぅ！,['Req(Discuss)']
1,talk,1,0,3,3:村人として生まれて、すみません。,['CO[03]:村人']
1,talk,1,0,3,3:情報はないから、皆のサポートが必要だ。,['Pers:ALL']
1,talk,2,0,5,5:>>Agent[02]  占い師のAgent[05]です。,"['Mt:02', 'CO[05]:占い師']"
1,talk,2,0,5,5:Agent[02]は人間と出ました！,['DivT[05]:02->白']
1,talk,2,0,5,5:信じて一緒に頑張りましょう！,['Pers:ALL']
1,talk,3,0,1,1:Agent[05]よ、汝は占いの術に長けた者なり。,['Mt:05']
1,talk,3,0,1,1:我が心は安堵に満たされつつも、人狼の影は未だに去らず。,['calm']
1,talk,3,0,1,1:疑わしき言動があれば、躊躇なく糾弾し、真実に至る道を切り開かん。,['Req(Discuss)']
1,talk,4,0,4,4:皆さん、昨晩の占い結果を報告します。,['Req(CO):占い師']
1,talk,4,0,4,4:あたしはAgent[05]を占ったところ、黒判定が出ました。,['DivT[04]:05->黒']
1,talk,4,0,4,4:つまりAgent[05]は人狼ということですよね...どう思いますか?,"['Est[04]:05->人狼', 'Req(Discuss)']"
1,talk,5,1,2,2:>>Agent[05] 信じるか信じないかは君の自由です！,['Mt:05']
1,talk,5,1,2,2:でもぼくは信じます！,['Agr:05（CO[05]:占い師）']
1,talk,5,1,2,2:ぼくたちは村人同士で協力して勝利を目指しましょうよぅ！,['Pers:ALL']
1,talk,6,1,3,3:俺も村人だ。,['CO[03]:村人']
1,talk,6,1,3,3:Agent[02]の言う通り、みんなで協力して人狼を見つけよう。,['Agr:02（Pers:ALL）']
1,talk,6,1,3,3:疑問や気になる点があれば、気軽に話してくれ。,['Req(Discuss)']
1,talk,7,1,5,5:>>Agent[04]  占い師の結果を無視するのは危険だよ。,['Mt:04']
1,talk,7,1,5,5:情報共有を大切にしよう。,['Other']
1,talk,8,1,1,1:我は断言する、Agent[05]はAgent[02]を人間と見做し、Agent[04]はAgent[05]を黒と断定した。,"['Fact[01]:05->not(人狼)', 'Fact[01]:04->人狼']"
1,talk,8,1,1,1:占い師とは、真なる予言者か、それとも狂気に染まった者かの二択であろう。,"['XorEst:(04,05)->(占い師⇔狂人)']"
1,talk,8,1,1,1:故に、人狼と断定されたAgent[05]に投票すべきである。,['Vote[01]:05']
1,talk,9,1,4,4:占い師はあたし1人だけですの。,['CO[04]:占い師']
1,talk,9,1,4,4:だから、Agent[05]が占い師を名乗っているのはおかしいですの。,['Sus:05']
1,talk,9,1,4,4:皆さん、Agent[05]の発言には注意が必要ですの。,['Sus:05']
1,talk,9,1,4,4:協力して人狼を見つけましょう！,['Req(Discuss)']
1,talk,11,2,3,3:Agent[04]の行動を見ていると、明らかに他の占い師を攻撃して混乱を狙っているように思える。,['Sus:04']
1,talk,11,2,3,3:特に、自身が偽の占い師である可能性が高い。,['Est[03]:04->not(占い師)']
1,talk,11,2,3,3:これ以上、疑惑を深める前に、Agent[04]を追放するのが村のためになるはずだ。,['Vote[03]:04']
1,talk,11,2,3,3:みんな、今日の投票でしっかり考えて、Agent[04]に投票しよう！,"['Pers:ALL', 'Vote[03]:04']"
1,talk,12,2,5,5:>>Agent[04] 占い結果を無視するのはリスクがあるよ。,['Mt:04']
1,talk,12,2,5,5:誰が本物か見極めよう！,['Req(Discuss)']
1,talk,13,2,1,1:我はAgent[05]に投票を決めた。,['Vote[01]:05']
1,talk,17,3,1,1:我はAgent[05]に投票を決めた。,['Vote[01]:05']
1,talk,13,2,1,1:欺瞞に満ちたその存在は、占い師と名乗るも、Agent[04]の鑑定結果を軽視する。,['Dis:05（CO[05]:占い師）']
1,talk,13,2,1,1:この矛盾は、深淵の闇に蠢く人狼の仕業であると、我が魂は断言するなり。,['Fact[01]:05->人狼']
1,talk,14,2,4,4:みなさん、冷静に考えてください。,['calm']
1,talk,14,2,4,4:占い師はあたし以外には一人しかいませんの。,['CO[04]:占い師']
1,talk,14,2,4,4:だから、この状況でAgent[05]が占い師を名乗るのは非常におかしいです。,['Dis:05（CO[05]:占い師）']
1,talk,14,2,4,4:怪しい行動を取っているAgent[05]に注意を払うべきですし、みなさんの投票は彼に向けるのがいいと思いますの。,"['Sus:05', 'Vote[04]:05', 'Pers:ALL']"
1,talk,15,3,3,3:みんな、よく考えてみてほしい。,['Req(Discuss)']
1,talk,15,3,3,3:Agent[04]が自分を占い師と名乗り、Agent[05]を黒判定したことは不自然だ。,"['Dis:04（CO[04]:占い師,DivT[04]:05->黒）']"
1,talk,15,3,3,3:もし本当にAgent[04]が占い師なら、今日の投票で彼が疑っている相手が人狼である可能性は非常に高い。,"['IF:(04:占い師)->(05:人狼)', 'Est[03]:05->人狼']"
1,talk,15,3,3,3:俺の経験から言わせてもらうと、こういう疑いをかけるのは人狼の常套手段だ。,['Est[03]:04->人狼']
1,talk,15,3,3,3:だから、俺はみんなにAgent[04]への投票を強くお願いする。,"['Req(V):04', 'Pers:ALL']"
1,talk,15,3,3,3:村を守るために、彼を追放しよう！,['Pers:ALL']
2,talk,7,2,3,3:村を守るために、彼を追放しよう！,['Pers:ALL']
1,talk,16,3,5,5:>>Agent[01] 俺も占い師だよ。,"['CO[05]:占い師', 'Mt:01']"
1,talk,16,3,5,5:Agent[02]は村人だから、信じてほしい。,"['DivT[05]:02->白', 'Pers:ALL']"
1,talk,13,2,1,1:我はAgent[05]に投票を決めた。,['Vote[01]:05']
1,talk,17,3,1,1:我はAgent[05]に投票を決めた。,['Vote[01]:05']
1,talk,17,3,1,1:同者は占い師を自称しながらも、Agent[04]の占いの結果を軽視するとは、まさに人狼の狡猾な策略なり。,"['Dis:05（CO[05]:占い師,Dis:04（DivT[04]:05->黒））']"
1,talk,17,3,1,1:混沌と不信の種を蒔き、真実にたどり着く道を阻もうとするのだ。,['Sus:05']
1,talk,17,3,1,1:今こそ、同者を処刑し、迷宮から脱出する時であろう。,['Pers:ALL']
1,talk,18,3,4,4:みなさん、考えてください。,['Req(Discuss)']
1,talk,18,3,4,4:占い師は一人しかいないのに、あたしとAgent[05]が占い師を名乗っていますの。,"['CO[04]:占い師', 'CO[05]:占い師', 'contradiction']"
1,talk,18,3,4,4:これはAgent[05]が嘘をついている可能性が高いですの。,"['Est[04]:05->not(占い師)', 'Sus:05']"
1,talk,18,3,4,4:あたしが占い師として彼を黒と判定した以上、彼こそが人狼かもしれません。,"['DivT[04]:05->黒', 'Est[04]:05->人狼']"
