model,rank,feature,importance,importance_ratio
human,1,f0,824.0,0.10670810670810671
human,2,f15,675.0,0.08741258741258741
human,3,f5,523.0,0.06772856772856772
human,4,f150,405.0,0.05244755244755245
human,5,f19,402.0,0.052059052059052056
human,6,f14,392.0,0.050764050764050765
human,7,f13,381.0,0.049339549339549336
human,8,f40,358.0,0.04636104636104636
human,9,f166,316.0,0.04092204092204092
human,10,f18,249.0,0.03224553224553225
human,11,f22,224.0,0.02900802900802901
human,12,f55,209.0,0.027065527065527065
human,13,f52,185.0,0.023957523957523957
human,14,f112,175.0,0.022662522662522663
human,15,f46,156.0,0.020202020202020204
human,16,f154,148.0,0.019166019166019167
human,17,f44,145.0,0.01877751877751878
human,18,f54,126.0,0.016317016317016316
human,19,f94,120.0,0.01554001554001554
human,20,f124,104.0,0.013468013468013467
human,21,f8,94.0,0.012173012173012173
human,22,f1,86.0,0.011137011137011137
human,23,f130,85.0,0.011007511007511007
human,24,f28,80.0,0.01036001036001036
human,25,f34,77.0,0.009971509971509971
human,26,f26,73.0,0.009453509453509453
human,27,f37,66.0,0.008547008547008548
human,28,f149,65.0,0.008417508417508417
human,29,f6,64.0,0.008288008288008289
human,30,f118,63.0,0.008158508158508158
human,31,f106,53.0,0.006863506863506863
human,32,f127,51.0,0.006604506604506605
human,33,f36,49.0,0.006345506345506346
human,34,f116,44.0,0.005698005698005698
human,35,f109,43.0,0.005568505568505569
human,36,f100,37.0,0.004791504791504792
human,37,f108,32.0,0.004144004144004144
human,38,f126,30.0,0.003885003885003885
human,39,f142,26.0,0.003367003367003367
human,40,f160,25.0,0.0032375032375032376
human,41,f9,24.0,0.003108003108003108
human,42,f164,24.0,0.003108003108003108
human,43,f98,22.0,0.002849002849002849
human,44,f145,21.0,0.0027195027195027195
human,45,f152,19.0,0.0024605024605024606
human,46,f165,19.0,0.0024605024605024606
human,47,f41,18.0,0.002331002331002331
human,48,f58,18.0,0.002331002331002331
human,49,f20,17.0,0.0022015022015022014
human,50,f162,16.0,0.002072002072002072
human,51,f50,15.0,0.0019425019425019425
human,52,f136,15.0,0.0019425019425019425
human,53,f7,14.0,0.001813001813001813
human,54,f57,14.0,0.001813001813001813
human,55,f144,14.0,0.001813001813001813
human,56,f153,14.0,0.001813001813001813
human,57,f21,12.0,0.001554001554001554
human,58,f70,11.0,0.0014245014245014246
human,59,f73,11.0,0.0014245014245014246
human,60,f47,10.0,0.001295001295001295
human,61,f76,9.0,0.0011655011655011655
human,62,f159,9.0,0.0011655011655011655
human,63,f51,8.0,0.001036001036001036
human,64,f33,7.0,0.0009065009065009065
human,65,f53,7.0,0.0009065009065009065
human,66,f95,7.0,0.0009065009065009065
human,67,f119,7.0,0.0009065009065009065
