feature,tournament_f_score,max_pairwise_smd,z_f_score,z_max_pairwise_smd,dependency_score
seer_co_num,2389.7337317332026,2.8340503139959505,10.98153865750605,6.4133095694990105,17.39484822700506
day1_vote_id_ReqDiscuss,442.34825799284204,1.1961510243202358,1.7934668241626885,1.8517548710422371,3.645221695204926
ReqDiscuss,427.77071512811193,1.204672606368963,1.724687677557716,1.8754875039810748,3.600175181538791
Agr_id_ReqDiscuss,101.835286035766,1.4758361271857603,0.18687291211218557,2.630678766489553,2.8175516786017383
Sus_recepient_id_ReqDiscuss,234.56651125291864,1.1871491906354228,0.8131197688685344,1.8266847357790275,2.639804504647562
Vote_recepient_id_ReqDiscuss,20.69270451397617,1.4066603199695178,-0.19597058642390647,2.438023924756722,2.242053338332816
day1_vote_id_calm,264.6184751146017,0.9385465398560496,0.9549096745741765,1.1343255676301849,2.0892352422043614
Dis_id_ReqDiscuss,44.301274943376235,1.296072557572866,-0.08458162727179835,2.1300366569607,2.0454550296889016
calm,254.85393165152115,0.9273489289607212,0.9088390183181931,1.1031401858957626,2.0119792042139557
Est_id_ReqDiscuss,126.69978621866365,1.100196028322201,0.3041875459436908,1.584519903914376,1.888707449858067
Fact_recepient_id_ReqDiscuss,57.58573354912836,1.209983945891279,-0.02190345616359553,1.890279601337632,1.8683761451740364
Agr_id_calm,70.37412335276889,1.0550221028662465,0.03843418408949747,1.458710378743788,1.4971445628332856
Sus_recepient_id_calm,144.8954840303362,0.892620513504599,0.3900377182931566,1.0064214390885657,1.3964591573817224
Agr_id_Sus,57.912269892723614,1.0085809543945037,-0.02036280618874085,1.329371633469071,1.3090088272803302
Fact_recepient_id_Pers,36.38496588495612,0.9447308923435589,-0.12193202207781838,1.151549008854032,1.0296169867762137
Est_id_calm,76.41566138263585,0.8674553935424595,0.06693911346830947,0.9363365004576605,1.00327561392597
Agr_id_Req(T),50.53869911033888,0.8696549447900866,-0.055152476200331736,0.9424622576341574,0.8873097814338257
Fact_recepient_id_calm,31.684013816148138,0.8905568484081413,-0.14411185543682523,1.0006741252725548,0.8565622698357296
Vote_recepient_id_Vote,88.44291263612051,0.7903789353753284,0.12368558198459856,0.7216783208559744,0.845363902840573
Vote_recepient_id_calm,26.54430054844469,0.8655585817702584,-0.16836183333963023,0.931053873677057,0.7626920403374269
day1_vote_id_Mt,141.43195417314442,0.661202482438289,0.3736962381116882,0.3619214911539504,0.7356177292656385
Vote,124.39323126347489,0.6771850965773167,0.2933048558437574,0.40643312204545523,0.6997379778892125
Dis_id_calm,32.18032907228947,0.8233852863389612,-0.14177016177272903,0.8136011126088677,0.6718309508361386
Fact_recepient_id_Mt,38.29906174295366,0.7994374599420855,-0.11290101590244252,0.7469063404045743,0.6340053245021318
Fact_recepient_id_ReqListen,26.345416363873518,0.818237074515913,-0.16930020029316717,0.7992633264103487,0.6299631261171815
Agr_id_Pers,44.75350571091829,0.7802325895335795,-0.08244793117852124,0.6934207156183774,0.6109727844398561
Sus_recepient_id_Sus,103.53420627733765,0.6706681615634624,0.1948886857888267,0.38828343743458377,0.5831721232234105
Sus_recepient_id_Vote,45.184861082714846,0.748192999491414,-0.08041272849512396,0.6041903560872947,0.5237776275921707
Fact_recepient_id_Vote,0.00010892504815653542,0.8223351053452035,-0.29360151633128617,0.8106763552220724,0.5170748388907862
Sus_recepient_id_Mt,93.16225718289017,0.6629540182909708,0.14595219395574147,0.3667995240395362,0.5127517179952776
Sus,109.82702105355945,0.6167303538006106,0.2245791784917415,0.23806647234034517,0.46264565083208664
day1_vote_id_Pers,115.68207139108846,0.6046538508989571,0.252204229522717,0.20443337359050007,0.45663760311321705
day1_vote_id_Vote,84.63759631532905,0.6527288160318907,0.10573149935663734,0.33832230343043984,0.4440538027870772
Vote_recepient_id_ReqListen,23.471347746145003,0.7465222736162233,-0.18286050936896975,0.5995373792444274,0.41667686987545766
Pers,106.91935823803564,0.60118074219274,0.21086036669180502,0.19476075486665145,0.4056211215584565
day1_vote_id_difficult,105.65314696823174,0.5887820997408537,0.20488618219673352,0.1602304964512607,0.36511667864799424
Est_id_Pers,55.21871680383916,0.6637890557531536,-0.033071414526082255,0.36912510601091714,0.3360536914848349
Agr_id_Vote,15.097587880651426,0.7077325686951571,-0.22236922923815197,0.49150792844133595,0.269138699203184
day1_vote_id_Sus,107.72748978866585,0.5397662006639166,0.21467325881722482,0.023721062603375146,0.23839432142059996
Vote_recepient_id_Pers,5.526577935401396,0.7095295756214621,-0.26752676383026097,0.4965125984106776,0.2289858345804166
Vote_recepient_id_Mt,1.4632898893716075,0.7157461873429365,-0.2866979977487208,0.5138258817030754,0.22712788395435463
Fact_recepient_id_Wait,22.09546431386723,0.6776645463013916,-0.18935214442558448,0.4077683910423424,0.21841624661675793
Agr_id_Req(V),21.197977952420192,0.6752081281725983,-0.19358662664269932,0.4009272587899499,0.20734063214725057
Mt,88.988794475436,0.54935730173049,0.12626113860642893,0.05043230938721373,0.17669344799364267
day1_vote_id_ReqListen,87.0395611523133,0.5418380308509112,0.11706434832823165,0.029491116222337955,0.14655546455056961
Sus_recepient_id_Req(T),74.89647795971986,0.5578089067271047,0.059771366452631786,0.0739700560147499,0.1337414224673817
