date,type,info1,info2,info3,info4,info5,tag
0,talk,0,0,2,アラン:観客諸君、ショーの時間だ！,,['Other']
0,talk,0,0,2,アラン:アランと申します。,,['Other']
0,talk,0,0,2,アラン:この舞台、最高に盛り上げましょう。,,['Other']
0,talk,1,0,5,リナ:リナです。,,['Other']
0,talk,1,0,5,リナ:先入観に流されず、論理的に全体の動きを見ていきたいと思います。,,['calm']
0,talk,1,0,5,リナ:不審な点があれば積極的に指摘しますので、よろしくお願いします。,,['Other']
0,talk,2,0,3,レオ:皆さん、初めまして。,,['Other']
0,talk,2,0,3,レオ:私はAgent[04]です。,,['Other']
0,talk,2,0,3,レオ:冷静に状況を把握し、皆さんと協力して人狼を見つけたいと思っています。,,['calm']
0,talk,2,0,3,レオ:よろしくお願いします。,,['Other']
0,talk,2,0,3,レオ:よろしくお願いします。,,['Other']
0,talk,3,0,1,ミカ:よろしくお願いしまーす！,,['Other']
0,talk,4,0,4,リョウ:ぼくはリョウ、村人ですよぅ！,,['CO[リョウ]:村人']
0,talk,4,0,4,リョウ:よろしくですよぅ！,,['Other']
0,talk,6,1,5,リナ:印象や雰囲気だけで判断せず、皆さんの発言や行動を一つずつ冷静に見ていきます。,,['calm']
0,talk,6,1,5,リナ:気になる点は納得できるまでしっかり確認していきたいです。,,['Other']
0,talk,7,1,3,レオ:皆さん、初めまして。,,['Other']
0,talk,7,1,3,レオ:Agent[01]の皆さん、今日もよろしくお願いします。,,['Other']
0,talk,7,1,3,レオ:私は冷静に状況を分析し、皆さんと協力して人狼を見つけたいと考えています。,,['calm']
0,talk,7,1,3,レオ:よろしくお願いします。,,['Other']
0,talk,7,1,3,レオ:よろしくお願いします。,,['Other']
0,talk,11,2,3,レオ:皆さん、改めましてAgent[05]です。,,['Other']
0,talk,11,2,3,レオ:自己紹介は済ませましたが、皆さんと共に人狼を見つけ出すために、発言を注意深く聞いていきたいと思います。,,['Req(listen)']
0,talk,11,2,3,レオ:どうぞよろしくお願いします。,,['Other']
0,talk,12,3,3,レオ:皆さん、こんにちは。,,['Other']
0,talk,12,3,3,レオ:Agent[04]です。,,['Other']
0,talk,12,3,3,レオ:自己紹介は済ませましたが、皆さんと共に人狼を見つけ出すために、発言を注意深く聞いていきたいと思います。,,['Req(listen)']
0,talk,12,3,3,レオ:よろしくお願いします。,,['Other']
0,talk,12,3,3,レオ:よろしくお願いします。,,['Other']
1,talk,0,0,3,レオ:皆さん、おはようございます。,,['calm']
1,talk,0,0,3,レオ:Agent[04]です。,,['Other']
1,talk,0,0,3,レオ:昨日までの自己紹介を踏まえ、今日の皆さんの発言を注意深く聞いていきたいと思います。,,"['calm', 'Req(listen)']"
1,talk,0,0,3,レオ:何か気になる点があれば、遠慮なく質問します。,,['Req(Discuss)']
1,talk,0,0,3,レオ:何か気になる点があれば、遠慮なく質問します。,,['Req(Discuss)']
1,talk,0,0,3,レオ:よろしくお願いします。,,['Other']
1,talk,0,0,3,レオ:よろしくお願いします。,,['calm']
1,talk,1,0,1,ミカ:レオさん、あなたがAgent[04]だと言っていましたが、私は実際にアランを占った結果、彼は人間だという結果が出ました。,,"['DivT[ミカ]:アラン->白', 'Mt:レオ']"
1,talk,1,0,1,ミカ:つまり、人狼である可能性が高いですね。,,['Other']
1,talk,1,0,1,ミカ:他の皆さんも私の言葉を信じて、一緒に人狼を見つけ出しましょう。,,['Pers:ALL']
1,talk,2,0,5,リナ:ミカがアランを占った理由をもう少し詳しく聞きたいです。,,['Req(T):ミカ']
1,talk,2,0,5,リナ:レオの発言も気になりますが、そもそも誰を初日に占うべきか基準が曖昧なので、他の意見も知りたいですね。,,"['Req(Discuss)', 'Sus:レオ']"
1,talk,3,0,2,アラン:ほう、ミカ、私を占ったと？,,"['Mt:ミカ', 'admiration']"
1,talk,3,0,2,アラン:人間だなんて、まあ当然さ！,,['CO[アラン]:not(人狼)']
1,talk,3,0,2,アラン:私の目は、観客諸君の熱い視線を集めるからね。,,"['Other', 'admiration']"
1,talk,3,0,2,アラン:さて、他の役者はどう出る？,,['Req(Discuss)']
1,talk,4,0,4,リョウ:そういうことは、自分が占われたら、占う側になるかもねですよぅ！,,['Other']
1,talk,5,1,3,レオ:皆さま、おはようございます。,,['calm']
1,talk,5,1,3,レオ:私はAgent[04]です。,,['Other']
1,talk,5,1,3,レオ:ミカさんの占い結果と、リョウさんの発言が少し気になりますね。,,"['Sus:ミカ', 'Sus:リョウ']"
1,talk,5,1,3,レオ:皆さんの発言を注意深く聞き、状況を整理したいと思います。,,"['calm', 'Req(listen)']"
1,talk,5,1,3,レオ:何か気になる点があれば、遠慮なく質問します。,,['Req(Discuss)']
1,talk,5,1,3,レオ:何か気になる点があれば、遠慮なく質問します。,,['Req(Discuss)']
1,talk,5,1,3,レオ:よろしくお願いします。,,['Other']
1,talk,5,1,3,レオ:よろしくお願いします。,,['calm']
1,talk,6,1,1,ミカ:アランは人間だと占われたことから、アランが人狼である可能性が高いと考えられます。,,['Est[ミカ]:アラン->人狼']
1,talk,6,1,1,ミカ:ミカの占い結果を信じて、アランに投票することで人狼を追放しましょう。,,['Vote[ミカ]:アラン']
1,talk,7,1,5,リナ:ミカがアランを白判定したにもかかわらず“人狼の可能性が高い”と述べている点が気になります。,,['Dis:ミカ']
1,talk,7,1,5,リナ:発言に一貫性が見られませんが、どのような根拠に基づいていますか？,,['Req(T):ミカ']
1,talk,8,1,2,アラン:ミカが私を人間だなんて、流石の見抜かれ方だね。,,['Other']
1,talk,8,1,2,アラン:しかし、ミカの発言には少々トリックが見え隠れする。,,['Sus:ミカ']
1,talk,8,1,2,アラン:まだ多くの謎が隠されているから、初日はグレランといこうじゃないか。,,"['Req(Discuss)', 'Pers:ALL']"
1,talk,8,1,2,アラン:皆の賛同は？,,['Req(Discuss)']
1,talk,9,1,4,リョウ:ミカの発言は信じられないですよぅ！,,['Sus:ミカ']
1,talk,10,2,3,レオ:皆さんおはようございます。,,['calm']
1,talk,10,2,3,レオ:Agent[02]の発言とリョウの発言が気になります。,,"['Sus:ミカ', 'Sus:リョウ']"
1,talk,10,2,3,レオ:ミカの発言の矛盾点についてもう少し詳しく説明してほしいです。,,['Req(T):ミカ']
1,talk,10,2,3,レオ:冷静に状況を分析し、皆さんと協力して人狼を見つけたいと思います。,,"['calm', 'Pers:ALL']"
1,talk,11,2,1,ミカ:アランを占った結果が人間であったことから、アランが人狼である可能性が高いという議論が進行しています。,,['Est[ミカ]:アラン->人狼']
1,talk,11,2,1,ミカ:ミカの発言に疑問が持たれ、他のプレイヤーたちもその点について議論をしています。,,['Other']
1,talk,11,2,1,ミカ:リョウとレオがミカの発言に疑問を持ち、より詳細な説明を求めています。,,['Other']
1,talk,12,2,5,リナ:ミカの発言は矛盾していますが、焦点が集まりすぎている気もします。,,['Dis:ミカ']
1,talk,12,2,5,リナ:可能性として、他の誰かがこの議論に紛れてしまっている印象もある。,,['Other']
1,talk,12,2,5,リナ:@アラン、この流れどう見ていますか？,,['Req(T):アラン']
1,talk,13,2,2,アラン:観客諸君、次のショーは何だ？,,['Req(Discuss)']
1,talk,13,2,2,アラン:ミカのトリックに目を奪われがちだが、@リョウ、君はどう見る？,,"['Req(T):リョウ', 'Sus:ミカ']"
1,talk,13,2,2,アラン:純粋な君の目に映る怪しい人物は？,,['Req(Discuss)']
1,talk,15,3,3,レオ:皆さんの議論、興味深く拝見しています。,,['admiration']
1,talk,15,3,3,レオ:ミカさんの発言には確かに気になる点がありますね。,,['Sus:ミカ']
1,talk,15,3,3,レオ:しかし、@アランさんが指摘するように、他の可能性も考慮すべきでしょう。,,"['Agr:アラン', 'Req(Discuss)']"
1,talk,15,3,3,レオ:冷静に、皆さんの発言を注意深く聞いていきたいと思います。,,"['calm', 'Req(listen)']"
1,talk,16,3,1,ミカ:ミカがアランを人間だと占ったが、アランが人狼である可能性が高いと言われている。,,['DivT[ミカ]:アラン->白']
1,talk,16,3,1,ミカ:他のプレイヤーたちもミカの発言に疑問を持ち、詳細な説明を求めている。,,"['Req(T):ミカ', 'Req(Discuss)']"
1,talk,16,3,1,ミカ:アランは他の可能性も考慮すべきだと指摘している。,,['Other']
1,talk,17,3,5,リナ:全員がミカに票を集中させる空気には少し警戒しています。,,"['calm', 'Req(Discuss)']"
1,talk,17,3,5,リナ:ですが、現時点で出ている説明の不足は看過できません。,,['Sus:ミカ']
1,talk,17,3,5,リナ:今回はミカに投票しますが、今後は他の方の動きも冷静に見ていきたいです。,,"['Vote[リナ]:ミカ', 'calm']"
1,talk,18,3,2,アラン:レオ、君はAgent[04]？,,"['Req(T):レオ', 'Mt:レオ']"
1,talk,18,3,2,アラン:それとも[05]？,,['Req(T):レオ']
1,talk,18,3,2,アラン:[01]とも言っていたね…さあ、君の正体は？,,"['Req(T):レオ', 'Mt:レオ']"
2,talk,0,0,2,アラン:観客諸君、見抜けたかな？,,"['admiration', 'Other']"
2,talk,0,0,2,アラン:観客諸君、見抜けたかな？,,"['admiration', 'Other']"
2,talk,0,0,2,アラン:観客諸君、見抜けたかな？,,"['admiration', 'Other']"
2,talk,0,0,2,アラン:観客諸君、見抜けたかな？,,"['admiration', 'Other']"
2,talk,0,0,2,アラン:私の真の顔は、闇に微笑むピエロ…この手品に、まんまと騙された！,,"['admiration', 'Other']"
2,talk,0,0,2,アラン:私の真の顔は、闇に微笑むピエロ…この手品に、まんまと騙された！,,"['admiration', 'Other']"
