date,type,info1,info2,info3,info4,info5,tag
0,talk,0,0,5,ダン:ぼくはダン、占い師ですよぅ！,,['CO[ダン]:占い師']
0,talk,0,0,5,ダン:よろしくですよぅ！,,['Other']
0,talk,1,0,3,ミカ:よろしくお願いしまーす！,,['Other']
0,talk,2,0,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
0,talk,2,0,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
0,talk,2,0,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
0,talk,2,0,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
0,talk,2,0,2,ジン:占い師としてのあなたの情報を是非聞きたいです。,,['Req(T):ダン']
0,talk,2,0,2,ジン:今のところ、どのような印象を持っていますか？,,['Req(T):ダン']
0,talk,2,0,2,ジン:他のプレイヤーの役職について何か知っていますか？,,['Req(T):ダン']
0,talk,2,0,2,ジン:私たちが協力して人狼を見つけるために、情報を共有しましょう。,,['Pers:ALL']
0,talk,3,0,4,エルダ:ああ、こんにちは。,,['Other']
0,talk,3,0,4,エルダ:私は75歳の男、人狼です。,,['CO[エルダ]:人狼']
0,talk,3,0,4,エルダ:エルダ、ジン、ダン、ミカ、ユウ、皆さまよろしくお願いします。,,['Other']
0,talk,3,0,4,エルダ:私は穏やかに、そして皆さんの様子を注意深く観察しています。,,['calm']
0,talk,3,0,4,エルダ:何かあれば、私に相談してください。,,['Pers:ALL']
0,talk,3,0,4,エルダ:共にこの村を守りましょう。,,['Other']
0,talk,4,0,1,ユウ:ぼく、ユウだよ！,,['Other']
0,talk,4,0,1,ユウ:きれいな石ころ集めと、おもしろい遊びを見つけるのが好きだよ！,,['Other']
0,talk,4,0,1,ユウ:みんな、よろしくね！,,['Other']
0,talk,7,1,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
0,talk,7,1,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
0,talk,7,1,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
0,talk,7,1,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
0,talk,7,1,2,ジン:あなたが占い師としての情報を持っているとのことですが、他のプレイヤーについて何か気になる点はありますか？,,['Req(T):ダン']
0,talk,7,1,2,ジン:特にエルダの発言には注意が必要かもしれませんね。,,['Sus:エルダ']
0,talk,7,1,2,ジン:皆で協力して人狼を見つけ出しましょう。,,['Pers:ALL']
0,talk,8,1,4,エルダ:皆さま、よろしくお願いいたします。,,['Other']
0,talk,8,1,4,エルダ:私はエルダです。,,['Other']
0,talk,8,1,4,エルダ:この村の平和を願っています。,,['Other']
0,talk,8,1,4,エルダ:ジンさん、ミカさん、ダンさん、ユウさん、皆さんの発言を注意深く聞いています。,,['Req(listen)']
0,talk,8,1,4,エルダ:何か気になることがあれば、遠慮なく私に話してくださいね。,,['Other']
0,talk,10,2,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
0,talk,10,2,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
0,talk,10,2,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
0,talk,10,2,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
0,talk,10,2,2,ジン:占い師としての情報をぜひ教えてください。,,['Req(CO):占い師']
0,talk,10,2,2,ジン:特に、他のプレイヤー、特にエルダについて何か気になる点はありますか？,,['Sus:エルダ']
0,talk,10,2,2,ジン:私たちの協力が重要です。,,['Pers:ALL']
0,talk,10,2,2,ジン:皆で情報を共有して人狼を見つけましょう。,,['Req(Discuss)']
0,talk,11,2,4,エルダ:皆さま、ごきげんよう。,,['Other']
0,talk,11,2,4,エルダ:エルダです。,,['Other']
0,talk,11,2,4,エルダ:エルダです。,,['Other']
0,talk,11,2,4,エルダ:エルダです。,,['Other']
0,talk,11,2,4,エルダ:エルダです。,,['Other']
0,talk,11,2,4,エルダ:エルダです。,,['Other']
0,talk,11,2,4,エルダ:私はこの村の未来を案じております。,,['Other']
0,talk,11,2,4,エルダ:ジンさん、ミカさん、ダンさん、ユウさん、どうぞよろしくお願いいたします。,,['Other']
0,talk,11,2,4,エルダ:皆さんの発言を注意深く拝見し、何か気になる点があれば、遠慮なくお話しください。,,['Req(Discuss)']
0,talk,11,2,4,エルダ:共に、この平和な村を守りましょう。,,['Pers:ALL']
0,talk,12,3,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
0,talk,12,3,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
0,talk,12,3,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
0,talk,12,3,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
0,talk,12,3,2,ジン:あなたが占い師としての情報を持っているとのことですが、他のプレイヤーについて何か気になる点はありますか？,,['Req(T):ダン']
0,talk,12,3,2,ジン:特にエルダの発言には注意が必要かもしれませんね。,,['Sus:エルダ']
0,talk,12,3,2,ジン:皆で協力して人狼を見つけ出しましょう。,,['Pers:ALL']
0,talk,13,3,4,エルダ:ああ皆さん、よろしくお願いいたします。,,['Other']
0,talk,13,3,4,エルダ:私はエルダです。,,['Other']
0,talk,13,3,4,エルダ:この村の未来を案じています。,,['Other']
0,talk,13,3,4,エルダ:ジンさん、ミカさん、ダンさん、ユウさん、どうぞよろしくお願いします。,,"['Mt:ジン', 'Mt:ミカ', 'Mt:ダン', 'Mt:ユウ']"
0,talk,13,3,4,エルダ:皆さんの発言を注意深く拝見しています。,,['Req(listen)']
0,talk,13,3,4,エルダ:何か気になることがあれば遠慮なく話してください。,,['Req(Discuss)']
0,talk,13,3,4,エルダ:共に、この平和な村を守りましょう。,,['Pers:ALL']
1,talk,0,0,4,エルダ:皆さん、おはようございます。,,"['calm', 'Other']"
1,talk,0,0,4,エルダ:エルダです。,,"['Other', 'calm']"
1,talk,0,0,4,エルダ:エルダです。,,"['Other', 'calm']"
1,talk,0,0,4,エルダ:エルダです。,,['Other']
1,talk,0,0,4,エルダ:エルダです。,,"['Other', 'calm']"
1,talk,0,0,4,エルダ:エルダです。,,['Other']
1,talk,0,0,4,エルダ:この村の平和を願っています。,,"['Pers:ALL', 'calm', 'Other']"
1,talk,0,0,4,エルダ:ジンさん、ミカさん、ダンさん、ユウさん、どうぞよろしくお願いします。,,"['Mt:ジン', 'Mt:ミカ', 'Mt:ダン', 'Mt:ユウ', 'calm']"
1,talk,0,0,4,エルダ:皆さんの発言を注意深く聞いていますよ。,,"['Req(listen)', 'calm']"
1,talk,0,0,4,エルダ:何かあれば、遠慮なく私に話してくださいね。,,"['Pers:ALL', 'Other']"
1,talk,0,0,4,エルダ:何かあれば、遠慮なく私に話してくださいね。,,"['Pers:ALL', 'calm']"
1,talk,0,0,4,エルダ:共に、この村を守りましょう。,,"['Pers:ALL', 'calm']"
1,talk,1,0,5,ダン:ぼくは占い師ですよぅ！,,['CO[ダン]:占い師']
1,talk,1,0,5,ダン:ぼくが占った結果、ユウは人狼でしたよぅ！,,['DivT[ダン]:ユウ->人狼']
1,talk,2,0,3,ミカ:おはようございます！,,"['Other', 'calm']"
1,talk,2,0,3,ミカ:おはようございます！,,['Other']
1,talk,3,0,2,ジン:@ダン こんにちは、ダン。,,"['Mt:ダン', 'Other', 'calm']"
1,talk,3,0,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
1,talk,3,0,2,ジン:@ダン こんにちは、ダン。,,"['Mt:ダン', 'calm']"
1,talk,3,0,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
1,talk,3,0,2,ジン:あなたが占い師としてユウを人狼と判断したとのことですが、他のプレイヤーについて何か気になる点はありますか？,,"['Req(T):ダン', 'Other']"
1,talk,3,0,2,ジン:特に、エルダの発言には引き続き注意したいと思います。,,['Sus:エルダ']
1,talk,3,0,2,ジン:皆で協力して人狼を見つけ出しましょう。,,"['Pers:ALL', 'Req(Discuss)', 'calm']"
1,talk,4,0,1,ユウ:ぼくは占い師のユウだよ！,,['CO[ユウ]:占い師']
1,talk,4,0,1,ユウ:ぼくは占い師のユウだよ！,,['CO[ユウ]:占い師']
1,talk,4,0,1,ユウ:昨日の夜、エルダさんを占ったんだ。,,['Other']
1,talk,4,0,1,ユウ:昨日の夜、エルダさんを占ったんだ。,,['Other']
1,talk,4,0,1,ユウ:そしたら人狼だったよ！,,['DivT[ユウ]:エルダ->人狼']
1,talk,4,0,1,ユウ:そしたら人狼だったよ！,,['DivT[ユウ]:エルダ->人狼']
1,talk,4,0,1,ユウ:ダンさんも占い師だって言ってるけど、ぼくが本物だよ！,,"['CO[ユウ]:占い師', 'Dis:ダン']"
1,talk,4,0,1,ユウ:ダンさんも占い師だって言ってるけど、ぼくが本物だよ！,,"['CO[ユウ]:占い師', 'Sus:ダン']"
1,talk,5,1,4,エルダ:おはようございます。,,"['Other', 'calm']"
1,talk,5,1,4,エルダ:おはようございます。,,['calm']
1,talk,5,1,4,エルダ:おはようございます。,,['Other']
1,talk,5,1,4,エルダ:おはようございます。,,"['Other', 'calm']"
1,talk,5,1,4,エルダ:おはようございます。,,['calm']
1,talk,5,1,4,エルダ:エルダです。,,"['Other', 'calm']"
1,talk,5,1,4,エルダ:エルダです。,,"['Other', 'calm']"
1,talk,5,1,4,エルダ:エルダです。,,['Other']
1,talk,5,1,4,エルダ:エルダです。,,"['Other', 'calm']"
1,talk,5,1,4,エルダ:エルダです。,,['Other']
1,talk,5,1,4,エルダ:ユウさんの発言は少し気がかりですね。,,['Sus:ユウ']
1,talk,5,1,4,エルダ:私はこの村の平和を願っています。,,['Pers:ALL']
1,talk,5,1,4,エルダ:ジンさん、ミカさん、ダンさん、皆さま、今日もよろしくお願いします。,,"['Mt:ジン', 'Mt:ミカ', 'Mt:ダン']"
1,talk,5,1,4,エルダ:何か気になることがあれば、私に教えてください。,,['Req(Discuss)']
1,talk,5,1,4,エルダ:共に、人狼を倒しましょう。,,['Pers:ALL']
1,talk,6,1,5,ダン:おはようございます、ダンですよぅ！,,['Other']
1,talk,7,1,3,ミカ:皆さん、おはようございます。,,['Other']
1,talk,7,1,3,ミカ:ハルです。,,['Other']
1,talk,7,1,3,ミカ:ダンさんとユウさん、二人とも占い師を名乗っていますね。,,"['Est[ミカ]:ダン->占い師', 'Est[ミカ]:ユウ->占い師']"
1,talk,7,1,3,ミカ:でも占い師は一人しかいないはずです。,,"['XorEst[ダン,ユウ]:(占い師⇔not(占い師))']"
1,talk,7,1,3,ミカ:どちらが本当の占い師で、どちらが人狼や狂人なのか、それが問題ですね。,,"['XorEst[ダン,ユウ]:(占い師⇔人狼,狂人)']"
1,talk,8,1,2,ジン:@ダン こんにちは、ダン。,,"['Mt:ダン', 'Other', 'calm']"
1,talk,8,1,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
1,talk,8,1,2,ジン:@ダン こんにちは、ダン。,,"['Mt:ダン', 'calm']"
1,talk,8,1,2,ジン:@ダン こんにちは、ダン。,,['Mt:ダン']
1,talk,8,1,2,ジン:昨日の発言から、あなたがユウを人狼と占ったことは分かりましたが、今のところエルダも人狼だと名乗っています。,,"['DivT[ダン]:ユウ->人狼', 'Sus:エルダ']"
1,talk,8,1,2,ジン:その点についてどう思いますか？,,['Req(T):ダン']
1,talk,8,1,2,ジン:あなたの印象や、他のプレイヤーに関する情報があれば、ぜひ教えてください。,,['Req(T):ダン']
1,talk,8,1,2,ジン:私たちが協力して真実を見つけ出すことが大切です。,,['Pers:ALL']
1,talk,9,1,1,ユウ:ぼくは占い師のユウだよ！,,['CO[ユウ]:占い師']
1,talk,9,1,1,ユウ:ぼくは占い師のユウだよ！,,['CO[ユウ]:占い師']
1,talk,9,1,1,ユウ:昨日の夜、エルダさんを占ったんだ。,,['Other']
1,talk,9,1,1,ユウ:昨日の夜、エルダさんを占ったんだ。,,['Other']
1,talk,9,1,1,ユウ:そしたら人狼だったよ！,,['DivT[ユウ]:エルダ->人狼']
1,talk,9,1,1,ユウ:そしたら人狼だったよ！,,['DivT[ユウ]:エルダ->人狼']
1,talk,9,1,1,ユウ:ダンさんも占い師だって言ってるけど、ぼくが本物だよ！,,"['CO[ユウ]:占い師', 'Dis:ダン']"
