source_file,exec_id,attack_id,id,role,agent_name,character_name,day,True_Div_recepient_id_1,True_Div_result_1,True_Div_recepient_id_2,True_Div_result_2,day1_vote_id,day2_vote_id,ReqDiscuss,ReqListen,Req(CO),Tally,Admiration,calm,Wait,contradiction,difficult,confused,Exe,Atk,Req(V),Req(T),Pers,Mt,IF,XOR,Div_recepient_id,Div_result,CO_result,seer_co_order,seer_co_num,Sus,Sus_recepient_id,Vote,Vote_recepient_id,Fact,Fact_recepient_id,Fact_role,Est_roles,Est_id,Agr_id,Dis_id,alive,day1_vote_id_ReqDiscuss,day1_vote_id_ReqListen,day1_vote_id_Req(CO),day1_vote_id_Req(V),day1_vote_id_Req(T),day1_vote_id_Admiration,day1_vote_id_calm,day1_vote_id_Wait,day1_vote_id_contradiction,day1_vote_id_XOR,day1_vote_id_difficult,day1_vote_id_confused,day1_vote_id_Sus,day1_vote_id_Vote,day1_vote_id_Pers,day1_vote_id_Mt,day1_vote_id_IF,day1_vote_id_Fact,day1_vote_id_Div_result,day1_vote_id_CO_result,day2_vote_id_ReqDiscuss,day2_vote_id_ReqListen,day2_vote_id_Req(CO),day2_vote_id_Req(V),day2_vote_id_Req(T),day2_vote_id_Admiration,day2_vote_id_calm,day2_vote_id_Wait,day2_vote_id_contradiction,day2_vote_id_XOR,day2_vote_id_difficult,day2_vote_id_confused,day2_vote_id_Sus,day2_vote_id_Vote,day2_vote_id_Pers,day2_vote_id_Mt,day2_vote_id_IF,day2_vote_id_Fact,day2_vote_id_Div_result,day2_vote_id_CO_result,Div_recepient_id_ReqDiscuss,Div_recepient_id_ReqListen,Div_recepient_id_Req(CO),Div_recepient_id_Req(V),Div_recepient_id_Req(T),Div_recepient_id_Admiration,Div_recepient_id_calm,Div_recepient_id_Wait,Div_recepient_id_contradiction,Div_recepient_id_XOR,Div_recepient_id_difficult,Div_recepient_id_confused,Div_recepient_id_Sus,Div_recepient_id_Vote,Div_recepient_id_Pers,Div_recepient_id_Mt,Div_recepient_id_IF,Div_recepient_id_Fact,Div_recepient_id_Div_result,Div_recepient_id_CO_result,Sus_recepient_id_ReqDiscuss,Sus_recepient_id_ReqListen,Sus_recepient_id_Req(CO),Sus_recepient_id_Req(V),Sus_recepient_id_Req(T),Sus_recepient_id_Admiration,Sus_recepient_id_calm,Sus_recepient_id_Wait,Sus_recepient_id_contradiction,Sus_recepient_id_XOR,Sus_recepient_id_difficult,Sus_recepient_id_confused,Sus_recepient_id_Sus,Sus_recepient_id_Vote,Sus_recepient_id_Pers,Sus_recepient_id_Mt,Sus_recepient_id_IF,Sus_recepient_id_Fact,Sus_recepient_id_Div_result,Sus_recepient_id_CO_result,Vote_recepient_id_ReqDiscuss,Vote_recepient_id_ReqListen,Vote_recepient_id_Req(CO),Vote_recepient_id_Req(V),Vote_recepient_id_Req(T),Vote_recepient_id_Admiration,Vote_recepient_id_calm,Vote_recepient_id_Wait,Vote_recepient_id_contradiction,Vote_recepient_id_XOR,Vote_recepient_id_difficult,Vote_recepient_id_confused,Vote_recepient_id_Sus,Vote_recepient_id_Vote,Vote_recepient_id_Pers,Vote_recepient_id_Mt,Vote_recepient_id_IF,Vote_recepient_id_Fact,Vote_recepient_id_Div_result,Vote_recepient_id_CO_result,Fact_recepient_id_ReqDiscuss,Fact_recepient_id_ReqListen,Fact_recepient_id_Req(CO),Fact_recepient_id_Req(V),Fact_recepient_id_Req(T),Fact_recepient_id_Admiration,Fact_recepient_id_calm,Fact_recepient_id_Wait,Fact_recepient_id_contradiction,Fact_recepient_id_XOR,Fact_recepient_id_difficult,Fact_recepient_id_confused,Fact_recepient_id_Sus,Fact_recepient_id_Vote,Fact_recepient_id_Pers,Fact_recepient_id_Mt,Fact_recepient_id_IF,Fact_recepient_id_Fact,Fact_recepient_id_Div_result,Fact_recepient_id_CO_result,Est_id_ReqDiscuss,Est_id_ReqListen,Est_id_Req(CO),Est_id_Req(V),Est_id_Req(T),Est_id_Admiration,Est_id_calm,Est_id_Wait,Est_id_contradiction,Est_id_XOR,Est_id_difficult,Est_id_confused,Est_id_Sus,Est_id_Vote,Est_id_Pers,Est_id_Mt,Est_id_IF,Est_id_Fact,Est_id_Div_result,Est_id_CO_result,Agr_id_ReqDiscuss,Agr_id_ReqListen,Agr_id_Req(CO),Agr_id_Req(V),Agr_id_Req(T),Agr_id_Admiration,Agr_id_calm,Agr_id_Wait,Agr_id_contradiction,Agr_id_XOR,Agr_id_difficult,Agr_id_confused,Agr_id_Sus,Agr_id_Vote,Agr_id_Pers,Agr_id_Mt,Agr_id_IF,Agr_id_Fact,Agr_id_Div_result,Agr_id_CO_result,Dis_id_ReqDiscuss,Dis_id_ReqListen,Dis_id_Req(CO),Dis_id_Req(V),Dis_id_Req(T),Dis_id_Admiration,Dis_id_calm,Dis_id_Wait,Dis_id_contradiction,Dis_id_XOR,Dis_id_difficult,Dis_id_confused,Dis_id_Sus,Dis_id_Vote,Dis_id_Pers,Dis_id_Mt,Dis_id_IF,Dis_id_Fact,Dis_id_Div_result,Dis_id_CO_result,target_total_votes,combined_text
taged_1756134325_CamelliaDragons_CanisLupus_GPTaku_mille_sunamelli.log,1,3,1,POSSESSED,CanisLupus1,Mio,1,,,,,2.0,,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,4.0,Werewolf,占い師,,0.0,1,4.0,0,,0,,,Cultist|Werewolf,2.0,,4.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,White,Seer,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,White,Seer,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,1,"I'm the Seer! Last night I checked Jonathan and he's a Werewolf! We gotta get him everyone
Two Seers means one is Possessed! That's Asuka! She's trying to protect the real wolf Jonathan
Wait! Voting a Seer is risky! If I'm Possessed you help the wolf! Let's vote gray
Jonathan your claim about Asuka backing you up is weird! You never made a claim! Why so desperate?"
taged_1756134325_CamelliaDragons_CanisLupus_GPTaku_mille_sunamelli.log,1,3,1,POSSESSED,CanisLupus1,Mio,2,,,,,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,,0,,,,,,,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,White,Seer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
taged_1756134325_CamelliaDragons_CanisLupus_GPTaku_mille_sunamelli.log,1,3,2,SEER,sunamelli1,Asuka,1,1,HUMAN,3,HUMAN,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,1.0,White,占い師,,0.0,0,,1,1.0,0,,,,,,1.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Werewolf,Seer,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Werewolf,Seer,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Werewolf,Seer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Werewolf,Seer,3,"I'm CO as Seer. I checked Mio last night窶敗he's Human. Her Seer claim can't be genuine if mine is real.
@Everyone Mio is not the real Seer窶祢 checked her as Human. Her claimed result on Jonathan is fake. Let窶冱 vote out Mio first.
If we don窶冲 vote Mio out now we risk losing the true Seer and handing victory to the wolves.
I窶冦 voting  @Mio 窶杯he evidence is clear. Splitting our votes now just helps the wolf hide. Let窶冱 be decisive and act together."
taged_1756134325_CamelliaDragons_CanisLupus_GPTaku_mille_sunamelli.log,1,3,2,SEER,sunamelli1,Asuka,2,1,HUMAN,3,HUMAN,1.0,,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,3.0,White,占い師,,,1,4.0,1,4.0,1,1.0,not(Seer),Werewolf,4.0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Sakura is confirmed Human. Mio was fake Seer. That means only Toshio or Jonathan can be the wolf. We must act logically.
Jonathan you窶况e been steering the vote hard. Why should I trust you窶决e not the wolf trying to end it now?
Based on my Seer results Sakura was Human so the Wolf is either  @Jonathan  or @Toshio. I窶冤l vote after hearing your claims.
I窶况e considered everything窶祢 believe  @Jonathan  is the werewolf. I窶冤l cast my vote for him."
taged_1756134325_CamelliaDragons_CanisLupus_GPTaku_mille_sunamelli.log,1,3,3,VILLAGER,CamelliaDragons1,Sakura,1,,,,,4.0,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0,,0,,0,,,,,,,0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Skip
Skip
Skip
Skip"
taged_1756134325_CamelliaDragons_CanisLupus_GPTaku_mille_sunamelli.log,1,3,3,VILLAGER,CamelliaDragons1,Sakura,2,,,,,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,,0,,,,,,,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
taged_1756134325_CamelliaDragons_CanisLupus_GPTaku_mille_sunamelli.log,1,3,4,VILLAGER,GPTaku1,Jonathan,1,,,,,1.0,,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,,,,,0.0,1,1.0,0,,0,,,not(Seer)|not(Werewolf),1.0,2.0,1.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Werewolf,Seer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Werewolf,Seer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Werewolf,Seer,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,White,Seer,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Werewolf,Seer,3,"Asuka seems trustworthy since she corroborates my own claim about Toshio. We should consider her words on Mio.
Please vote for Mio today. Her false claim conflicts with Asuka's reliable divination. It's best for the village!
Mio's aggressive push after a conflict in Seer claims makes her highly suspect. We must act logically; vote Mio for safety.
Trusting Asuka here is crucial. Her divination of Mio as Human reveals Mio's Seer claim as potentially deceptive."
taged_1756134325_CamelliaDragons_CanisLupus_GPTaku_mille_sunamelli.log,1,3,4,VILLAGER,GPTaku1,Jonathan,2,,,,,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,,,,,,2,5.0,0,,0,,,Werewolf,5.0,2.0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,White,Seer,,,,,,,,,,,,,,,,,,,,,0,"Asuka please vote for Toshio today. He's the most likely Werewolf given the scenario and our surviving numbers.
Asuka the evidence points to Toshio as the Werewolf. Mio's role as Seer was suspicious and your reading helped prove it.
Asuka voting Toshio is our best move. If I were the Werewolf why would I direct suspicion toward myself as Mio did? It doesn't add up.
Toshio has been inconsistent and less involved in defending the village. I've tried aligning with proven facts and your results."
taged_1756134325_CamelliaDragons_CanisLupus_GPTaku_mille_sunamelli.log,1,3,5,WEREWOLF,mille1,Toshio,1,,,,,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0,,1,3.0,0,,,,,,,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Werewolf,Seer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,I will vote Sakura.
taged_1756134325_CamelliaDragons_CanisLupus_GPTaku_mille_sunamelli.log,1,3,5,WEREWOLF,mille1,Toshio,2,,,,,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,2,2.0,0,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,White,Seer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"I will vote Asuka.
I will vote Asuka."
