fold,agent,count
1,CamelliaDragons1,24
1,CanisLupus1,24
1,Character-Lab1,15
1,GAIT1,12
1,GPTaku1,28
1,ai168wolf1,9
1,kanolab-nw1,18
1,kanolab1,12
1,mille1,25
1,osawalab1,14
1,sunamelli1,27
1,yharada1,17
2,CamelliaDragons1,27
2,CanisLupus1,22
2,Character-Lab1,16
2,GAIT1,9
2,GPTaku1,23
2,ai168wolf1,13
2,kanolab-nw1,15
2,kanolab1,15
2,mille1,30
2,osawalab1,13
2,sunamelli1,25
2,yharada1,17
3,CamelliaDragons1,25
3,CanisLupus1,27
3,Character-Lab1,13
3,GAIT1,10
3,GPTaku1,24
3,ai168wolf1,13
3,kanolab-nw1,15
3,kanolab1,17
3,mille1,27
3,osawalab1,13
3,sunamelli1,28
3,yharada1,13
4,CamelliaDragons1,26
4,CanisLupus1,28
4,Character-Lab1,16
4,GAIT1,7
4,GPTaku1,31
4,ai168wolf1,14
4,kanolab-nw1,14
4,kanolab1,13
4,mille1,26
4,osawalab1,11
4,sunamelli1,27
4,yharada1,12
5,CamelliaDragons1,25
5,CanisLupus1,31
5,Character-Lab1,13
5,GAIT1,8
5,GPTaku1,28
5,ai168wolf1,14
5,kanolab-nw1,12
5,kanolab1,15
5,mille1,26
5,osawalab1,14
5,sunamelli1,25
5,yharada1,14
