date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
date,type,info1,info2,info3,info4,tag
1,talk,0,0,1,1:もう少しで何か分かりそう･･･ではあるんだけど･･･。,['difficult']
1,talk,1,0,2,2:>>Agent[01] あなたの占い結果を楽しみにしてます！,"['Mt:01', 'admiration']"
1,talk,1,0,2,2:協力して頑張りましょう！,['Pers:ALL']
1,talk,2,0,5,5:Agent[01]殿、貴方は占いの術に長けた者か。,"['Mt:01', 'Req(CO):占い師']"
1,talk,2,0,5,5:実に興味深い。,['admiration']
1,talk,2,0,5,5:我はAgent[05]と申す。,['Other']
1,talk,2,0,5,5:遊戯は好むが、人狼は未経験なり。,['CO[05]:not(人狼)']
1,talk,2,0,5,5:些か緊張も覚えるが、諸君らと力を合わせ、愉悦の時を分かち合いたいと願う。,['Pers:ALL']
1,talk,3,0,4,4:みんな、今日のぎろんはたいせつだと思う。,['Req(Discuss)']
1,talk,3,0,4,4:まず、Agent[01]のうらないけっかについてもうちょびっときかせてほしいな。,['Req(T):01']
1,talk,3,0,4,4:アーニャたちのすいりがすすむかもしれない。,['Pers:ALL']
1,talk,4,0,3,3:私は村人です。,['CO[03]:村人']
1,talk,14,2,3,3:私は村人です。,['CO[03]:村人']
1,talk,4,0,3,3:信頼関係を築きながら情報を交換し、人狼を見つけ出すことを目指しましょう。,['Pers:ALL']
1,talk,5,1,1,1:えっと、みんな、僕が占い師なんだけど、昨夜Agent[04]を占ったんだ。,['CO[01]:占い師']
1,talk,5,1,1,1:結果は･･･Agent[04]が人狼だって出たんだよ。,['DivT[01]:04->黒']
1,talk,5,1,1,1:だから、投票はAgent[04]にしようと思う。,['Vote[01]:04']
1,talk,6,1,2,2:>>Agent[01] ありがとう！,"['Mt:01', 'admiration']"
1,talk,6,1,2,2:占い結果を待ちながら、協力していこう！,"['Wait', 'Pers:ALL']"
1,talk,7,1,5,5:我こそは、運命の糸を操る者。,['Other']
1,talk,7,1,5,5:占いの結果、Agent[03]は人狼の烙印を押されたなり。,['DivT[05]:03->黒']
1,talk,8,1,4,4:ちょびっとまって！,['Wait']
1,talk,8,1,4,4:Agent[01]、アーニャはむらびとだよ。,"['Mt:01', 'CO[04]:村人']"
1,talk,8,1,4,4:うらないのけっかになっとくできない。,['Dis:01（DivT[01]:04->黒）']
1,talk,8,1,4,4:そんで、Agent[05]のいうこともあやしいとおもう。,['Sus:05']
1,talk,8,1,4,4:みおとしとることがあるんじゃないかな。,['Sus:05']
1,talk,9,1,3,3:みんな、Agent[01]の占い結果が気になりますね。,['Req(Discuss)']
1,talk,9,1,3,3:私も一緒に情報を整理して、役職を理解していきましょう。,['Req(Discuss)']
1,talk,9,1,3,3:どんどん発言してください！,['Req(Discuss)']
1,talk,10,2,1,1:あ、あのね、実は僕が占い師で、昨夜･･･Agent[04]を占ったんだ。,['CO[01]:占い師']
