model,rank,feature,importance,importance_ratio
SEER,1,f67,399.0,0.27824267782426776
SEER,2,f15,168.0,0.11715481171548117
SEER,3,f71,155.0,0.10808926080892609
SEER,4,f0,125.0,0.08716875871687588
SEER,5,f31,111.0,0.07740585774058577
SEER,6,f187,104.0,0.07252440725244072
SEER,7,f39,100.0,0.0697350069735007
SEER,8,f79,94.0,0.06555090655509066
SEER,9,f81,93.0,0.06485355648535565
SEER,10,f27,85.0,0.059274755927475595
WEREWOLF,1,f0,2113.0,0.1369144041987948
WEREWOLF,2,f27,1934.0,0.12531588155251733
WEREWOLF,3,f15,1774.0,0.11494848700835872
WEREWOLF,4,f5,1615.0,0.10464588868010108
WEREWOLF,5,f42,1441.0,0.09337134711332858
WEREWOLF,6,f33,1375.0,0.08909479686386315
WEREWOLF,7,f14,1373.0,0.08896520443206117
WEREWOLF,8,f39,1318.0,0.08540141255750665
WEREWOLF,9,f207,1260.0,0.08164323203524915
WEREWOLF,10,f13,1230.0,0.0796993455582194
VILLAGER,1,f0,271.0,0.14997232982844494
VILLAGER,2,f67,253.0,0.140011068068622
VILLAGER,3,f15,231.0,0.12783619258439402
VILLAGER,4,f5,192.0,0.10625345877144439
VILLAGER,5,f27,161.0,0.08909795240730492
VILLAGER,6,f33,149.0,0.08245711123408965
VILLAGER,7,f39,142.0,0.07858328721638075
VILLAGER,8,f42,140.0,0.0774764803541782
VILLAGER,9,f13,135.0,0.07470946319867183
VILLAGER,10,f14,133.0,0.07360265633646929
POSSESSED,1,f67,744.0,0.18792624400101035
POSSESSED,2,f0,538.0,0.13589290224804243
POSSESSED,3,f15,526.0,0.13286183379641323
POSSESSED,4,f5,337.0,0.08512250568325334
POSSESSED,5,f39,330.0,0.08335438241980297
POSSESSED,6,f42,328.0,0.08284920434453144
POSSESSED,7,f13,301.0,0.07602930032836575
POSSESSED,8,f207,293.0,0.07400858802727961
POSSESSED,9,f27,288.0,0.07274564283910079
POSSESSED,10,f31,274.0,0.06920939631220005
