dataset_tag,role,feature,mean_day1,mean_day2,std_mean_diff,n_day1,n_day2,abs_std_mean_diff
all_feature_table_2025sp17_with_talks,WEREWOLF,Fact_recepient_id_ReqDiscuss,3.8666666666666667,0.7142857142857143,-1.2704251410602845,15,7,1.2704251410602845
all_feature_table_2025sp17_with_talks,POSSESSED,day1_vote_id_ReqDiscuss,4.836538461538462,0.7019230769230769,-1.2617637699559898,104,104,1.2617637699559898
all_feature_table_2025sp17_with_talks,VILLAGER,day1_vote_id_ReqDiscuss,4.568720379146919,0.7156398104265402,-1.2091742850037914,211,211,1.2091742850037914
all_feature_table_2025sp17_with_talks,SEER,ReqDiscuss,4.2075471698113205,0.4339622641509434,-1.1154349988890677,106,106,1.1154349988890677
all_feature_table_2025sp17_with_talks,VILLAGER,Vote_recepient_id_ReqDiscuss,4.870967741935484,2.1578947368421053,-1.0803982855971106,31,19,1.0803982855971106
all_feature_table_2025sp17_with_talks,POSSESSED,ReqDiscuss,4.320754716981132,0.8018867924528302,-1.054621192038931,106,106,1.054621192038931
all_feature_table_2025sp17_with_talks,SEER,Sus_recepient_id_ReqDiscuss,4.328767123287672,1.2857142857142858,-1.0518833188112984,73,14,1.0518833188112984
all_feature_table_2025sp17_with_talks,POSSESSED,Vote_recepient_id_confused,0.125,0.6,1.0438546574747647,24,5,1.0438546574747647
all_feature_table_2025sp17_with_talks,VILLAGER,Fact_recepient_id_difficult,0.4838709677419355,0.0,-1.0110700311578313,31,9,1.0110700311578313
all_feature_table_2025sp17_with_talks,VILLAGER,day1_vote_id_Sus,1.5450236966824644,0.3080568720379147,-0.9755168595493084,211,211,0.9755168595493084
all_feature_table_2025sp17_with_talks,SEER,day1_vote_id_ReqDiscuss,4.660377358490566,1.1415094339622642,-0.9719345987876481,106,106,0.9719345987876481
all_feature_table_2025sp17_with_talks,SEER,Vote_recepient_id_ReqDiscuss,4.285714285714286,1.8,-0.9265923438246353,28,5,0.9265923438246353
all_feature_table_2025sp17_with_talks,VILLAGER,Fact_recepient_id_Mt,5.870967741935484,1.4444444444444444,-0.9102803262933601,31,9,0.9102803262933601
all_feature_table_2025sp17_with_talks,SEER,Sus,1.7264150943396226,0.3490566037735849,-0.9061877724510152,106,106,0.9061877724510152
all_feature_table_2025sp17_with_talks,WEREWOLF,day1_vote_id_calm,2.018867924528302,0.2830188679245283,-0.9033137665919162,106,106,0.9033137665919162
all_feature_table_2025sp17_with_talks,WEREWOLF,day1_vote_id_Sus,1.8584905660377358,0.33962264150943394,-0.8965958776836797,106,106,0.8965958776836797
all_feature_table_2025sp17_with_talks,WEREWOLF,Vote_recepient_id_difficult,0.4444444444444444,0.0,-0.8918080720799181,18,17,0.8918080720799181
all_feature_table_2025sp17_with_talks,WEREWOLF,day1_vote_id_ReqDiscuss,4.830188679245283,0.8962264150943396,-0.8887208557104348,106,106,0.8887208557104348
all_feature_table_2025sp17_with_talks,VILLAGER,Fact_recepient_id_ReqDiscuss,4.096774193548387,1.3333333333333333,-0.8882726047117397,31,9,0.8882726047117397
all_feature_table_2025sp17_with_talks,VILLAGER,ReqDiscuss,5.306603773584905,1.778301886792453,-0.869817261599936,212,212,0.869817261599936
all_feature_table_2025sp17_with_talks,POSSESSED,day1_vote_id_Sus,2.1346153846153846,0.6153846153846154,-0.8682311213917092,104,104,0.8682311213917092
all_feature_table_2025sp17_with_talks,POSSESSED,Agr_id_Wait,0.56,0.0,-0.8640987597877147,25,11,0.8640987597877147
all_feature_table_2025sp17_with_talks,SEER,Sus_recepient_id_Wait,0.3561643835616438,0.0,-0.8592791836321151,73,14,0.8592791836321151
all_feature_table_2025sp17_with_talks,VILLAGER,Fact_recepient_id_Wait,0.5161290322580645,0.0,-0.8574026326253329,31,9,0.8574026326253329
all_feature_table_2025sp17_with_talks,POSSESSED,Vote_recepient_id_Mt,4.666666666666667,1.2,-0.8534718205731998,24,5,0.8534718205731998
all_feature_table_2025sp17_with_talks,POSSESSED,Vote_recepient_id_ReqListen,0.4166666666666667,0.0,-0.821512403502212,24,5,0.821512403502212
all_feature_table_2025sp17_with_talks,POSSESSED,Req(T),1.6037735849056605,0.3867924528301887,-0.8045384350631698,106,106,0.8045384350631698
all_feature_table_2025sp17_with_talks,POSSESSED,Dis_id_ReqListen,1.1666666666666667,0.1,-0.8007074590682205,24,10,0.8007074590682205
all_feature_table_2025sp17_with_talks,WEREWOLF,day1_vote_id_Mt,4.632075471698113,0.5660377358490566,-0.7951840169819939,106,106,0.7951840169819939
all_feature_table_2025sp17_with_talks,POSSESSED,day1_vote_id_ReqListen,0.6923076923076923,0.028846153846153848,-0.7906141559152976,104,104,0.7906141559152976
all_feature_table_2025sp17_with_talks,SEER,Pers,2.009433962264151,0.33962264150943394,-0.7889267259585949,106,106,0.7889267259585949
all_feature_table_2025sp17_with_talks,POSSESSED,Vote_recepient_id_ReqDiscuss,5.208333333333333,2.6,-0.786941215077648,24,5,0.786941215077648
all_feature_table_2025sp17_with_talks,VILLAGER,Fact_recepient_id_Sus,1.6451612903225807,0.3333333333333333,-0.7701177710798,31,9,0.7701177710798
all_feature_table_2025sp17_with_talks,WEREWOLF,Fact_recepient_id_Vote,0.4,0.0,-0.7677718959499145,15,7,0.7677718959499145
all_feature_table_2025sp17_with_talks,WEREWOLF,ReqDiscuss,4.660377358490566,1.990566037735849,-0.7672504956597506,106,106,0.7672504956597506
all_feature_table_2025sp17_with_talks,POSSESSED,Sus_recepient_id_ReqDiscuss,5.538461538461538,2.4210526315789473,-0.7627406731596902,65,19,0.7627406731596902
all_feature_table_2025sp17_with_talks,POSSESSED,day1_vote_id_Mt,3.519230769230769,0.8365384615384616,-0.7524965278505964,104,104,0.7524965278505964
all_feature_table_2025sp17_with_talks,POSSESSED,Sus,1.7735849056603774,0.5188679245283019,-0.7517388320129993,106,106,0.7517388320129993
all_feature_table_2025sp17_with_talks,POSSESSED,Est_id_ReqDiscuss,4.243243243243243,2.1666666666666665,-0.7469683978536825,37,12,0.7469683978536825
all_feature_table_2025sp17_with_talks,SEER,Sus_recepient_id_Fact,0.3561643835616438,0.0,-0.7469546126294193,73,14,0.7469546126294193
all_feature_table_2025sp17_with_talks,SEER,Agr_id_Pers,2.0344827586206895,0.6,-0.7454543898320459,29,5,0.7454543898320459
all_feature_table_2025sp17_with_talks,VILLAGER,day1_vote_id_Mt,4.113744075829384,0.7203791469194313,-0.7443950957898959,211,211,0.7443950957898959
all_feature_table_2025sp17_with_talks,VILLAGER,Vote_recepient_id_Fact,0.45161290322580644,0.05263157894736842,-0.7439667256107727,31,19,0.7439667256107727
