feature,f_score_all_days,f_score_day1_only,f_score_delta_day1_minus_all,f_score_ratio_day1_over_all
Est_id_Req(V),1.0147067565478936,4.012786920511992,2.9980801639640986,3.954627178406852
Agr_id_Req(CO),0.5302708354413301,2.68101644245142,2.15074560701009,5.0559379456804265
Req(V),8.302878328065455,10.212292181983187,1.9094138539177319,1.2299701113568708
Fact_recepient_id_IF,0.6385835675745534,1.7613916947250279,1.1228081271504746,2.758279076389027
Agr_id_confused,0.07299449309379734,0.947057166995212,0.8740626739014147,12.974364433271518
Vote_recepient_id_ReqListen,0.42186278336925925,1.2875457875457887,0.8656830041765295,3.0520487614730945
Fact,0.30052056597869714,1.1014561540463195,0.8009355880676223,3.6651606448100367
Est_id_Req(T),1.0725800861132713,1.809335356236716,0.7367552701234448,1.6869000077246807
Fact_recepient_id_Mt,0.3779385660910654,1.0482776414554358,0.6703390753643703,2.773672056080083
Est_id_Sus,1.9150835097045653,2.5564084099349067,0.6413249002303414,1.334880905530013
Est_id_contradiction,0.4629292514359431,1.079810455993164,0.616881204557221,2.3325604318827975
Est_id_calm,0.6447135558530862,1.2580512917469202,0.613337735893834,1.9513337037421694
Sus_recepient_id_difficult,0.5795458358645031,1.1925381242972124,0.6129922884327093,2.05771148620299
Dis_id_Req(CO),0.7868590220283249,1.3393070489844683,0.5524480269561434,1.7020927647623312
Vote_recepient_id_ReqDiscuss,1.2747641276195785,1.816684047337505,0.5419199197179265,1.4251138760115276
Sus_recepient_id_ReqDiscuss,0.5426789660448751,1.084399266323944,0.5417203002790688,1.9982334550921947
Fact_recepient_id_Sus,0.9158105504094352,1.4362531133838843,0.5204425629744491,1.5682862707505243
Pers,0.08193850142656986,0.5499011182925847,0.4679626168660148,6.711144370564802
Est_id_Mt,2.6856866496537357,3.144046094706067,0.45835944505233117,1.1706675069263048
Agr_id_difficult,0.992232368032001,1.3714764253284073,0.3792440572964063,1.3822129464153525
Fact_recepient_id_ReqListen,0.5498837066960461,0.90902393216131,0.3591402254652639,1.6531203242409618
Fact_recepient_id_Pers,1.1615475633899557,1.512300958753373,0.3507533953634172,1.3019707553238533
day1_vote_id_Fact,0.8459474150512907,1.1749053030302985,0.3289578879790078,1.3888632812598636
Fact_recepient_id_difficult,0.4213204367260203,0.7483407150651519,0.32702027833913155,1.7761794801698865
Fact_recepient_id_calm,0.5992652676108379,0.9121787638467276,0.3129134962358897,1.5221619083002378
Agr_id_contradiction,0.8635279145316311,1.1635906616756169,0.30006274714398573,1.3474847098130605
day1_vote_id_Pers,0.46275627717261686,0.7267321376615308,0.2639758604889139,1.570442526531095
Fact_recepient_id_confused,0.6709484690067204,0.9267944381811354,0.25584596917441493,1.3813198488579195
Fact_recepient_id_Wait,0.176197775541277,0.4112873637638939,0.2350895882226169,2.33423697413993
Fact_recepient_id_Vote,0.2965594121021243,0.5313064085110677,0.23474699640894342,1.79156818511812
Vote_recepient_id_Wait,1.2914196766098032,1.4918818206015443,0.20046214399174112,1.1552261805107091
Fact_recepient_id_ReqDiscuss,2.023917623271221,2.1995770305235216,0.17565940725230078,1.0867917770692632
Est_id_ReqDiscuss,1.1457411461306783,1.3136293201679279,0.16788817403724954,1.1465323772805909
day1_vote_id_contradiction,0.057713537420005,0.21204111600587175,0.15432757858586676,3.6740273220255864
Vote_recepient_id_calm,0.7718693678226168,0.925458527237888,0.15358915941527118,1.1989833586084013
Vote_recepient_id_difficult,0.15661414159788248,0.30114366939217246,0.14452952779428999,1.9228382915927296
Est_id_Vote,1.904137342052279,2.0156557013373884,0.11151835928510945,1.0585663422294678
Est_id_confused,0.4090607969226267,0.4937441616208552,0.08468336469822851,1.2070190180244216
day1_vote_id_confused,1.7207705510324962,1.7929070398368288,0.07213648880433254,1.0419210386411646
