dataset_tag,feature,f_score_all_days,f_score_day1_only,f_score_delta_day1_minus_all,f_score_ratio_day1_over_all
all_feature_table_2025sp17_with_talks,Agr_id_contradiction,0.8918560225216157,2.050449427571199,1.1585934050495832,2.2990812132150196
all_feature_table_2025sp17_with_talks,Fact_recepient_id_IF,0.7215449347286653,1.7744578313253014,1.0529128965966361,2.459247850632245
all_feature_table_2025sp17_with_talks,Agr_id_confused,0.09827304271527187,1.0873385012919894,0.9890654585767176,11.064463470189786
all_feature_table_2025sp17_with_talks,Sus_recepient_id_difficult,0.5544235924932966,1.4850862113871948,0.9306626188938981,2.6786129411088107
all_feature_table_2025sp17_with_talks,Vote,1.5446991662737142,2.3613347010197296,0.8166355347460155,1.5286696283958772
all_feature_table_2025sp17_with_talks,Dis_id_Req(CO),0.5944063324538261,1.3461292386436339,0.7517229061898077,2.2646616697737496
all_feature_table_2025sp17_with_talks,Est_id_Vote,0.2793346507538865,0.9552067392476662,0.6758720884937797,3.4195783954841033
all_feature_table_2025sp17_with_talks,Est_id_calm,0.6611919887107279,1.3064314366094907,0.6452394478987628,1.9758730564492406
all_feature_table_2025sp17_with_talks,Est_id_contradiction,0.9439416346248641,1.5551874610383825,0.6112458264135183,1.6475462076729883
all_feature_table_2025sp17_with_talks,Vote_recepient_id_Mt,0.4181445051621352,0.9959282891315051,0.5777837839693699,2.3817801632083015
all_feature_table_2025sp17_with_talks,Agr_id_difficult,0.4626418872006867,1.0146077156480295,0.5519658284473428,2.193073611630923
all_feature_table_2025sp17_with_talks,Sus_recepient_id_ReqDiscuss,0.5044305699512427,0.9623961030515664,0.45796553310032373,1.9078861581222242
all_feature_table_2025sp17_with_talks,Vote_recepient_id_Sus,0.49159026048940296,0.9425202367287303,0.45092997623932735,1.917288261311596
all_feature_table_2025sp17_with_talks,Vote_recepient_id_ReqListen,0.7403709046812615,1.1492760441168774,0.4089051394356159,1.5522976879532522
all_feature_table_2025sp17_with_talks,Vote_recepient_id_ReqDiscuss,0.7976125104452667,1.2048480677951918,0.4072355573499251,1.510568166254085
all_feature_table_2025sp17_with_talks,Vote_recepient_id_difficult,0.2103156606557971,0.6140504481967887,0.40373478754099157,2.919661067380443
all_feature_table_2025sp17_with_talks,day1_vote_id_Fact,0.5132350576253032,0.9166224084879375,0.40338735086263433,1.7859699840909247
all_feature_table_2025sp17_with_talks,Vote_recepient_id_calm,0.5824352263443997,0.9560388738862557,0.37360364754185604,1.641450980300923
all_feature_table_2025sp17_with_talks,Vote_recepient_id_contradiction,1.28406026962728,1.6377709879237594,0.3537107182964794,1.2754627071544602
all_feature_table_2025sp17_with_talks,Dis_id_Wait,0.13080216495678262,0.47652544630961885,0.34572328135283625,3.6431005849479905
all_feature_table_2025sp17_with_talks,Fact_recepient_id_Mt,0.5557743830031983,0.88367050806829,0.3278961250650917,1.5899806369327105
all_feature_table_2025sp17_with_talks,Fact_recepient_id_Pers,1.1506861289472496,1.4737561292795756,0.3230700003323259,1.2807629221594392
all_feature_table_2025sp17_with_talks,Fact_recepient_id_difficult,0.32121415878199866,0.6226617047669685,0.3014475459849698,1.93846281929027
all_feature_table_2025sp17_with_talks,Fact_recepient_id_confused,0.34370001038745146,0.6403813714704807,0.2966813610830292,1.8631985779848625
all_feature_table_2025sp17_with_talks,Fact_recepient_id_ReqListen,0.6373662551440313,0.9292731327819035,0.29190687763787215,1.4579892249142028
all_feature_table_2025sp17_with_talks,Fact_recepient_id_calm,0.7380410930782719,0.9559231507997736,0.2178820577215017,1.2952167019827145
all_feature_table_2025sp17_with_talks,Fact,0.98157714285714,1.1766298749080217,0.1950527320508817,1.1987136041945878
all_feature_table_2025sp17_with_talks,Fact_recepient_id_ReqDiscuss,1.8419826839244005,1.9820183167193626,0.14003563279496212,1.0760244023687495
all_feature_table_2025sp17_with_talks,Vote_recepient_id_Fact,0.3872883619078145,0.5214374225526651,0.1341490606448506,1.3463803033936803
all_feature_table_2025sp17_with_talks,day1_vote_id_contradiction,0.11735059077315328,0.23054582693292403,0.11319523615977074,1.964590245770425
all_feature_table_2025sp17_with_talks,Agr_id_Mt,1.5724452582894066,1.666001000050715,0.09355574176130843,1.0594969784853348
all_feature_table_2025sp17_with_talks,Vote_recepient_id_Wait,1.2791683103984401,1.3620318468177997,0.08286353641935951,1.0647792285667002
all_feature_table_2025sp17_with_talks,Fact_recepient_id_Wait,0.41169590643274845,0.4844062693704055,0.07271036293765704,1.1766118186383343
all_feature_table_2025sp17_with_talks,Sus_recepient_id_Req(CO),2.0628662759722958,2.087417709782105,0.024551433809809176,1.011901611890153
all_feature_table_2025sp17_with_talks,Req(CO),0.0900966643975492,0.11428703511083357,0.02419037071328438,1.2684935186729165
all_feature_table_2025sp17_with_talks,Fact_recepient_id_contradiction,0.36864315416602483,0.390341695741264,0.02169854157523915,1.058860557347028
all_feature_table_2025sp17_with_talks,day1_vote_id_Req(CO),0.3902078521939953,0.4116480116480122,0.021440159454016894,1.0549454842554329
all_feature_table_2025sp17_with_talks,Agr_id_IF,2.507967479674798,2.525650745514278,0.0176832658394801,1.0070508353779462
all_feature_table_2025sp17_with_talks,Dis_id_IF,0.7246239113222486,0.7421516754850086,0.01752776416276003,1.0241887741553928
all_feature_table_2025sp17_with_talks,Fact_recepient_id_Req(T),1.830172980074445,1.8406010499313028,0.010428069856857736,1.005697860237635
all_feature_table_2025sp17_with_talks,Vote_recepient_id_Req(CO),0.9805458045521456,0.9849737382964144,0.004427933744268864,1.0045157846978658
all_feature_table_2025sp17_with_talks,Admiration,1.3367088607594937,1.3401273885350318,0.0034185277755380827,1.002557421345317
all_feature_table_2025sp17_with_talks,day1_vote_id_confused,1.9617590346457667,1.964609685734284,0.002850651088517342,1.0014531097024253
all_feature_table_2025sp17_with_talks,Dis_id_Req(T),0.31988482303539467,0.32158251859776343,0.0016976955623687617,1.0053072088289532
all_feature_table_2025sp17_with_talks,Sus_recepient_id_Admiration,1.3345971563981043,1.3358730158730159,0.0012758594749116003,1.0009559884552721
all_feature_table_2025sp17_with_talks,Vote_recepient_id_Admiration,1.3345971563981043,1.3358730158730159,0.0012758594749116003,1.0009559884552721
all_feature_table_2025sp17_with_talks,Agr_id_Req(CO),1.3345971563981043,1.3358730158730159,0.0012758594749116003,1.0009559884552721
all_feature_table_2025sp17_with_talks,day1_vote_id_Admiration,0.35736040609137026,0.35757987763426213,0.0002194715428918692,1.0006141462191578
all_feature_table_2025sp17_with_talks,Fact_recepient_id_Req(CO),0.1538797814207652,0.153913679590344,3.3898169578799875e-05,1.0002202899500217
all_feature_table_2025sp17_with_talks,seer_co_num,0.0,0.0,0.0,1.0
all_feature_table_2025sp17_with_talks,Agr_id_Admiration,0.5831952662721893,0.5830562153602533,-0.0001390509119360006,0.9997615705755186
all_feature_table_2025sp17_with_talks,Vote_recepient_id_IF,1.4000864677907479,1.3967073818374933,-0.0033790859532545348,0.9975865162412626
all_feature_table_2025sp17_with_talks,Sus_recepient_id_confused,0.14940660690848945,0.13997796211979457,-0.009428644788694873,0.9368927189989491
all_feature_table_2025sp17_with_talks,Dis_id_difficult,1.1878865283065214,1.1244861042591667,-0.06340042404735469,0.9466275418710511
all_feature_table_2025sp17_with_talks,day1_vote_id_Vote,0.23824804452606965,0.1729040316881157,-0.06534401283795396,0.725731169405107
all_feature_table_2025sp17_with_talks,Agr_id_ReqListen,0.08510691059682654,0.013817258438774398,-0.07128965215805214,0.16235178999597977
all_feature_table_2025sp17_with_talks,day1_vote_id_Wait,0.49973126860950545,0.42253561715386684,-0.07719565145563861,0.8455256731963962
all_feature_table_2025sp17_with_talks,Sus_recepient_id_Wait,1.0461496208963161,0.9653794356227874,-0.08077018527352875,0.922792893499192
all_feature_table_2025sp17_with_talks,day1_vote_id_IF,1.0235233530087557,0.9410155222309916,-0.08250783077776414,0.9193884238648663
all_feature_table_2025sp17_with_talks,Agr_id_calm,1.6413626955041152,1.5310244882162298,-0.11033820728788535,0.932776462190294
all_feature_table_2025sp17_with_talks,Sus_recepient_id_calm,0.9472478940183043,0.8357476475847854,-0.11150024643351897,0.882290320179213
all_feature_table_2025sp17_with_talks,Vote_recepient_id_Req(V),0.3355576739752144,0.22335456475583862,-0.11220310921937579,0.6656219851694241
all_feature_table_2025sp17_with_talks,Sus_recepient_id_ReqListen,0.23014096687710867,0.11681134203544506,-0.1133296248416636,0.5075643163968109
all_feature_table_2025sp17_with_talks,Dis_id_Req(V),1.067741859865444,0.9416832756390081,-0.1260585842264359,0.8819390820509173
all_feature_table_2025sp17_with_talks,Est_id_Mt,2.875404583297984,2.7378711061454677,-0.13753347715251651,0.9521689998327333
all_feature_table_2025sp17_with_talks,Agr_id_Vote,1.4927450793952641,1.334891992886118,-0.1578530865091461,0.8942531524087501
all_feature_table_2025sp17_with_talks,day1_vote_id_ReqListen,0.30480059928136466,0.14247976355478567,-0.162320835726579,0.46745237517006555
all_feature_table_2025sp17_with_talks,day1_vote_id_ReqDiscuss,0.2826790253459857,0.11714956021935456,-0.16552946512663114,0.4144260815302549
all_feature_table_2025sp17_with_talks,Vote_recepient_id_Pers,0.9223832032114907,0.7561607248065582,-0.16622247840493254,0.8197902155568524
all_feature_table_2025sp17_with_talks,Vote_recepient_id_Vote,0.9746818153597819,0.804076433121019,-0.17060538223876298,0.8249629988215684
all_feature_table_2025sp17_with_talks,Fact_recepient_id_Sus,1.68029068800912,1.5059104079933383,-0.17438028001578165,0.8962201712141754
all_feature_table_2025sp17_with_talks,Est_id_Fact,0.5791696374705217,0.40223458570872517,-0.17693505176179658,0.6945021976133818
all_feature_table_2025sp17_with_talks,Sus_recepient_id_Mt,0.28164377220282555,0.0969215883506739,-0.18472218385215167,0.34412828747637847
all_feature_table_2025sp17_with_talks,Agr_id_Pers,1.344885985954164,1.1478228377416693,-0.1970631482124947,0.853472227293561
all_feature_table_2025sp17_with_talks,day1_vote_id_Pers,1.11435857332291,0.9082786501664488,-0.20607992315646118,0.8150685713692503
all_feature_table_2025sp17_with_talks,Est_id_confused,0.4785942676076637,0.26738069061720615,-0.21121357699045756,0.5586792595637963
all_feature_table_2025sp17_with_talks,Sus_recepient_id_contradiction,1.1710723976562187,0.9550333113697935,-0.2160390862864252,0.8155202987156681
all_feature_table_2025sp17_with_talks,day1_vote_id_Req(T),0.4936440334382313,0.2592412302165993,-0.23440280322163204,0.5251582377808267
all_feature_table_2025sp17_with_talks,Est_id_Req(V),1.6006108165429485,1.3634483762924132,-0.23716244025053523,0.851830040350098
