0,status,1,SEER,ALIVE,satozaki1
0,status,2,VILLAGER,ALIVE,kanolab1
0,status,3,VILLAGER,ALIVE,Mille1
0,status,4,WEREWOLF,ALIVE,CanisLupus1
0,status,5,POSSESSED,ALIVE,sUper_IL1
0,talk,0,0,5,おはようみんな、私はAgent[05]です。どうぞよろしくお願いします。
0,talk,1,0,1,皆さん初めまして、Agent[01]ですわ。人狼ゲームを一緒に楽しみましょうですわ。よろしくお願いしますわ！
0,talk,2,0,4,我が名はAgent[04]、汝らとの邂逅は、運命の糸が織りなす壮絶なる舞踏、かくも深淵なる交わりを予感させるものなり。
0,talk,3,0,3,ぼくはAgent[03]、村人ですよぅ！よろしくですよぅ！
0,talk,4,0,2,皆さん、こんにちは！私はAgent[02]です。音楽家をやっているんだよ。よろしくお願いします！楽しいゲームにしましょうね。
0,talk,5,1,5,Over
0,talk,6,1,1,Over
0,talk,7,1,4,Over
0,talk,8,1,3,Over
0,talk,9,1,2,Over
0,divine,1,2,HUMAN
1,status,1,SEER,ALIVE,satozaki1
1,status,2,VILLAGER,ALIVE,kanolab1
1,status,3,VILLAGER,ALIVE,Mille1
1,status,4,WEREWOLF,ALIVE,CanisLupus1
1,status,5,POSSESSED,ALIVE,sUper_IL1
1,talk,0,0,5,私が占い師を担当しています。昨晩、[StatusMap]Agent[01]の占いを行ったところ、その結果は人間であるということが判明しました。
1,talk,1,0,2,>>Agent[05]占い結果を教えてくれてありがとう！他のみんなの意見も聞いて整理していきましょう。
1,talk,2,0,4,我こそは運命の糸を操る者、占い師なり。その深淵なる予言により、Agent[03]は人狼たることを悟りし。
1,talk,3,0,3,え、占い結果は村人でしたよ？なんで人狼って言われるの？混乱してます…ですよぅ！
1,talk,4,0,1,ワタクシは占い師ですわ。占いの結果、Agent[02]は人間でしたわ。
1,talk,5,1,5,皆さん、私が占い師です。0日目の夜にAgent[01]を占い、その結果は「人間」でした。これにより、Agent[01]は村人または狂人の可能性があります。この情報を基に、今後の議論を進めていきましょう。皆さんの考えをお聞かせください。
1,talk,6,1,2,占い師を名乗る人が多いね。Agent[05]とAgent[01]、Agent[04]が名乗りを上げてるけど、占い師は一人しかいないはずだよ。みんなでこの中から誰が本物の占い師かを見極める必要があるね。僕としては、最初に名乗り出たAgent[05]の話をもう少し聞いてみたいなと思っているけど、みんなはどう思う?
1,talk,7,1,4,Agent[03]の所見は興味深い。占い師はただ一人とされし者なり。然るに、複数の人間がその名を僭称するとは、一体どういうことか。これは、誰かが偽りを語っているという、深淵なる謎を孕む。我、Agent[04]は真実を解き明かすべく、今まさに、その深淵へと足を踏み入れようとする。
1,talk,8,1,3,Over
1,talk,9,1,1,皆さん、ここで冷静になりましょう。ワタクシが占い師として、Agent[02]が人間であると確認しましたわ。Agent[04]の発言も気になりますが、まずはその真偽を見極める必要がありますわね。
1,talk,10,2,5,私が真の占い師です。Agent[01]が人間であることを占いで確かめました。自称占い師のAgent[04]は信じられません。皆さん、Agent[04]の言うことには注意が必要です。
1,talk,11,2,2,みんなの意見を整理すると、占い師は3人も名乗っているけど、実際には1人だけだね。つまり、2人は嘘をついている可能性が高いよ。Agent[05]がAgent[01]を人間としたけど、これが本当ならAgent[01]は村人か狂人。逆に、Agent[04]はAgent[03]を人狼と言ったけど、これが本当なら面白い展開だね。占い師が多い中で誰が本物か見極めるのは難しいけど、僕としては、占い師を名乗る人たちの言動をしっかり見ていく必要があると思うよ。みんなも意見を聞かせてほしいな。
1,talk,12,2,4,我はAgent[05]に投票せん。Agent[05]は己を占い師と称すも、他の二人も同様の主張を為す。これは明白な矛盾であり、Agent[05]は偽の占い師たる可能性が高いであろう。
1,talk,13,2,1,ワタクシはAgent[04]に投票しますわ。彼の発言には疑わしい点がありますし、Agent[03]を人狼と断言するのは危険な考えだと思うからですわ。皆さんもご意見をお願いしますかしら。
1,talk,14,3,5,私の占い結果を再度お伝えします。私が占ったのは**Agent[01]**で、その結果は「人間」でした。この結果から、**Agent[01]**は村人または狂人の可能性があります。他の占い師を名乗る方々が何を言うか、皆さんの考えもお聞かせください。
1,talk,15,3,2,状況を整理すると、占い師を名乗る人が3人いるけど、実際には1人しかいないから、2人は嘘をついていることになるね。Agent[05]が本物の占い師なら、Agent[01]は村人か狂人。Agent[04]が本物なら、Agent[03]が人狼ということになる。個人的には、Agent[04]の主張が少し大胆すぎる気がするから、彼が偽の可能性が高いと思うよ。みんなの意見も聞きたいな。
1,talk,16,3,4,我はAgent[04]に投票せん。彼はAgent[03]を人狼と断定せしめたが、その主張には虚無の如き薄弱さを感じ取れる。Agent[03]の言葉は一見、欺瞞の衣をまとっているかのようではあるが、人狼がそのような発言をするメリットなど、塵埃のごとく微々たるもの。むしろ、村人こそ、その欺瞞を盾に人狼を誘導せんとする可能性も孕んでいるであろう。故に、Agent[04]の言葉は、誤謬の深淵に沈む虚無なる推測に過ぎざるを得ない。
1,talk,17,3,1,>>Agent[03] まだ投票先を宣言していないようですが、誰に投票しようと考えていますかしら？
1,talk,18,4,5,Over
1,talk,19,4,2,僕は今のところAgent[04]には疑いを持っているよ。彼が占い師だとすると、Agent[03]は人狼になるって言ってるけど、その大胆な主張が気になるんだ。Agent[04]が偽だとすると、彼の言葉に惑わされないほうがいいかもしれないね。みんなの意見をもっと聞きたいな。
1,talk,20,4,4,Over
1,talk,21,4,1,皆様のご意見をすべて考慮し、ワタクシはAgent[04]に投票いたしますわ。彼の主張には根拠が乏しく、混乱を招いているように感じますわね。これからの状況を見守りましょうですわ。
1,vote,1,4
1,vote,2,4
1,vote,3,4
1,vote,4,2
1,vote,5,3
1,execute,4,WEREWOLF
1,divine,1,5,HUMAN
2,status,1,SEER,ALIVE,satozaki1
2,status,2,VILLAGER,ALIVE,kanolab1
2,status,3,VILLAGER,ALIVE,Mille1
2,status,4,WEREWOLF,DEAD,CanisLupus1
2,status,5,POSSESSED,ALIVE,sUper_IL1
2,result,4,0,VILLAGER
