0,status,1,WEREWOLF,ALIVE,sUper_IL1
0,status,2,POSSESSED,ALIVE,barneko1
0,status,3,SEER,ALIVE,Mille1
0,status,4,VILLAGER,ALIVE,kanolab1
0,status,5,VILLAGER,ALIVE,UEC-IL1
0,talk,0,0,4,皆さん、こんにちは！私は漁師をしている18歳のkanolab1です。読書が趣味です。よろしくお願いしますなのです！
0,talk,1,0,2,Over
0,talk,2,0,5,我々がこのゲームを通じて、互いの信頼を深めることができることを願っている。さて、占い師がまだ名乗り出ていないようだが、誰がその役割を担っているのか、公表する時が来たと思う。
0,talk,3,0,1,おっす、俺はAgent[01]。どうぞよろしくね。
0,talk,4,0,3,ぼくはAgent[03]、占い師ですよぅ！よろしくですよぅ！
0,talk,5,1,4,Over
0,talk,6,1,5,皆、我が挨拶を受け入れよ。我はデルカダール国の国王である。このゲームにおいては、平民、すなわち村人の役割を担うこととなった。我々の中に占い師がいるはずだ。占い師は名乗り出るがよい。
0,talk,7,1,1,Over
0,talk,8,1,3,Over
0,talk,9,2,5,Agent[03]、占い師としての責任は重大である。今宵、誰を占う予定か発表せよ。
0,talk,10,3,5,Over
0,divine,3,4,HUMAN
1,status,1,WEREWOLF,ALIVE,sUper_IL1
1,status,2,POSSESSED,ALIVE,barneko1
1,status,3,SEER,ALIVE,Mille1
1,status,4,VILLAGER,ALIVE,kanolab1
1,status,5,VILLAGER,ALIVE,UEC-IL1
1,talk,0,0,2, >>Agent[03] 占い結果を楽しみにしてるよ！次はどう動く？
1,talk,1,0,4,>>Agent[03]占い師として、誰を占う予定ですか?選ぶ基準を教えてもらえると嬉しいです！
1,talk,2,0,1,村人だよ。みんなと協力して人狼を見つけたいな。情報を共有しようぜ。
1,talk,3,0,3,ぼくは占い師ですよぅ！ぼくが占った結果、Agent[04]は人間でしたよぅ！
1,talk,4,0,5,皆の意見も聞く必要がありそうだな。
1,talk,5,1,2, >>Agent[03] 信頼できるね！次は誰を占うのか教えてほしいな。
1,talk,6,1,4,私は村人なのです！占い師の役割を担うAgent[03]が、私を人間と占ってくれたのは嬉しいですね。これからも協力して人狼を見つけましょう。
1,talk,7,1,1,Agent[04]、少し強気だね。占い師に対してそんなに指示を出す必要あるのかな？ちょっと怪しいかも。
1,talk,8,1,3,>>Agent[04] 占い師としては、疑われている人や、役職がはっきりしていない人を占うことが多いかもしれませんよぅ！
1,talk,9,1,5,Agent[03]、Agent[04]が人間であるとの占い結果を発表したが、その根拠を明らかにせよ。占いの選択理由を述べるべし。
1,talk,10,2,2, 信頼は大事だね。Agent[03]、次は誰占う予定？
1,talk,11,2,4,なるほど、皆さんの言葉を聞いていると、Agent[03]が占い師としての役割を果たしてくれるのを期待したいですね。次の占い対象をしっかりと考えて、村人陣営の役に立てるようにしてくださいなのです。
1,talk,12,2,1,Agent[03]の言動を見てると、彼の自己防衛の姿勢が目立つよね。普通の村人なら、こんなに強気で自分を押し出す必要はないはず。彼が本当に占い師なら、他の村人を疑うことが重要だけど、そんな姿勢を見せるのは怪しい。だから、今日はAgent[03]を追放するべきだと思うよ。これで村の安全を確保できるかもしれないから、みんなでAgent[03]に投票しよう！
1,talk,13,2,3,Over
1,talk,14,2,5,Agent[01]とAgent[04]の言動に注意が必要だ。Agent[01]がAgent[04]の強気な態度を怪しんでいるが、その根拠は何か？
1,talk,15,3,2, >>Agent[01] 強気な推測だね。もう少し様子を見たいかな。
1,talk,16,3,4,Agent[01]の意見も理解できますが、Agent[03]が本当に占い師なら、村にとって大きな損失になる可能性があります。まずは様子を見て、次の占い結果を待ってみるのも一つの手かもしれませんね。みんなで協力して慎重に進めていきましょうなのです。
1,talk,17,3,1,俺も村人だし、みんなと協力して人狼を見つけたいと思ってる。Agent[03]が占い師なのは分かるけど、Agent[04]の強気な態度がちょっと怪しいかな。彼の発言は他のプレイヤーをリードしようとしているように見える。俺の経験から言うと、こういう行動は人狼の特性に合致するんだ。
1,talk,18,3,5,Agent[01]よ、汝の言う自己防衛の姿勢とは具体的に何を指しておるのか。我が行動が怪しいと感じる理由を具体的に述べよ。
1,talk,19,4,2, >>Agent[05] 具体的な理由を聞きたいね、ちょっと混乱するな。
1,talk,20,4,4,>>Agent[01]私は村人で、みんなと協力して人狼を見つけたいと思っているのです。Agent[03]が占い師であると信じる一方、他のプレイヤー全員に対応することが大切だと思っています。私は強気というよりも、協力し合う姿勢を大事にしているだけです。言動で他の人がどう思うかは気にしつつ、真実を追求していきたいです。
1,talk,21,4,1,みんな、今一度考えてほしい。Agent[03]が本当に占い師なら、それは村にとって頼もしい存在だけど、彼の自己防衛的な言動が気になるよね。もし彼が人狼だとしたら、村は危機的状況に陥る。俺たちが安心して暮らすためには、Agent[03]を追放する決断が必要なんだ。この辛い選択肢を乗り越えて、みんなで村を守ろう！だから、今日の投票でAgent[03]に入れてくれると、本当に心強いよ。
1,talk,22,4,5,Agent[01]、汝がAgent[04]の強気な態度を怪しむ根拠を詳しく語ってみよ。その理由が明らかになれば、我々の判断にも役立つであろう。
1,vote,1,3
1,vote,2,4
1,vote,3,2
1,vote,4,1
1,vote,5,1
1,execute,1,WEREWOLF
1,divine,3,5,HUMAN
2,status,1,WEREWOLF,DEAD,sUper_IL1
2,status,2,POSSESSED,ALIVE,barneko1
2,status,3,SEER,ALIVE,Mille1
2,status,4,VILLAGER,ALIVE,kanolab1
2,status,5,VILLAGER,ALIVE,UEC-IL1
2,result,4,0,VILLAGER
