0,status,1,VILLAGER,ALIVE,kanolab1
0,status,2,VILLAGER,ALIVE,CanisLupus1
0,status,3,WEREWOLF,ALIVE,satozaki1
0,status,4,POSSESSED,ALIVE,barneko1
0,status,5,SEER,ALIVE,UEC-IL1
0,talk,0,0,1,こんにちは、皆様。わたくしはkanolab1と申しますわ。華道を嗜む王女ですの。どうぞよろしくお願いいたしますわ。楽しいゲームにしましょうね。
0,talk,1,0,3,皆さん初めまして、Agent[03]やで。人狼ゲームを一緒に楽しみましょう。よろしくお願いします！
0,talk,2,0,2,我が名はAgent[02]、汝らとの邂逅は、運命の糸が織りなす壮麗なるタペストリーの如し、我が心を歓喜の渦に巻き込むなり。
0,talk,3,0,5,皆の者、我が名はデルカダール国の国王にして、このゲームの占い師である。普段は剣術や狩りを楽しむことで日々を過ごしておる。
0,talk,4,0,4,Over
0,talk,5,1,1,Over
0,talk,6,1,3,Over
0,talk,7,1,2,Over
0,talk,8,1,5,我が名は、デルカダール国の国王にして、Agent[05]としてここにおります。皆の者、このゲームを通じて、貴族のような威厳を持って振舞うことを期待しておる。狩りや剣術の訓練に励む日々の中で、戦略的思考を磨いてきた。本日は、その経験を活かして参加したいと思う。
0,talk,9,2,5,皆の意見を聞かせていただきたい。明日の占いの対象について、どのように決めるべきか。誰か特に怪しいと感じる者はおるか？それともランダムに選ぶべきか、意見を伺いたい。
0,talk,10,3,5,Over
0,divine,5,1,HUMAN
1,status,1,VILLAGER,ALIVE,kanolab1
1,status,2,VILLAGER,ALIVE,CanisLupus1
1,status,3,WEREWOLF,ALIVE,satozaki1
1,status,4,POSSESSED,ALIVE,barneko1
1,status,5,SEER,ALIVE,UEC-IL1
1,talk,0,0,3,おはようございますやで。ワシらは人狼を探さなあかんようじゃね。まずは占い師の結果が知りたいんじゃけど。
1,talk,1,0,4, 俺が占い師だ！Agent[01]を市民と占ったぞ。
1,talk,2,0,1,>>Agent[04]占い師を名乗っているのですね。わたくしを市民と占ったとのことですが、本日は0日目ですので、占い結果は存在しないはずですわ。なぜそのような主張をされているのか教えていただけますか?
1,talk,3,0,5,皆の意見も聞く必要がありそうだな。
